Date,Depth,Density
2019-08-01,0.0,
2019-08-02,0.0018800572,141.55309
2019-08-03,0.0058709783,170.8512
2019-08-04,0.018423602,160.79025
2019-08-05,0.026992124,189.88942
2019-08-06,0.03070183,197.92061
2019-08-07,0.034347016,199.95537
2019-08-08,0.03596892,205.52962
2019-08-09,0.07938863,202.92456
2019-08-10,0.09764823,299.5711
2019-08-11,0.09250667,337.8237
2019-08-12,0.07979887,397.32852
2019-08-13,0.060325857,548.9785
2019-08-14,0.06416219,485.23114
2019-08-15,0.06864391,462.10388
2019-08-16,0.08688093,424.55655
2019-08-17,0.09732383,425.77335
2019-08-18,0.12690933,425.51083
2019-08-19,0.17195703,352.23648
2019-08-20,0.17742032,346.9429
2019-08-21,0.1838028,353.61978
2019-08-22,0.21038473,331.71277
2019-08-23,0.2137254,332.11237
2019-08-24,0.2053053,347.55103
2019-08-25,0.19901882,364.7588
2019-08-26,0.20276855,361.1615
2019-08-27,0.20496456,360.95197
2019-08-28,0.20360158,366.03833
2019-08-29,0.2055638,365.32104
2019-08-30,0.22752747,348.56866
2019-08-31,0.23024404,347.7534
2019-09-01,0.31956124,286.61105
2019-09-02,0.30590945,305.7549
2019-09-03,0.3019322,313.235
2019-09-04,0.28905344,339.83557
2019-09-05,0.28719732,364.16547
2019-09-06,0.3026888,353.0159
2019-09-07,0.30406117,353.0438
2019-09-08,0.32250357,344.21466
2019-09-09,0.3126419,363.55664
2019-09-10,0.30224794,378.57022
2019-09-11,0.300685,384.43088
2019-09-12,0.30161053,384.66238
2019-09-13,0.30604684,381.62125
2019-09-14,0.30940777,379.39642
2019-09-15,0.312762,376.85956
2019-09-16,0.3168961,373.64157
2019-09-17,0.31341213,379.30984
2019-09-18,0.3236866,376.87424
2019-09-19,0.32265186,378.9595
2019-09-20,0.32511392,378.12097
2019-09-21,0.32675514,377.7051
2019-09-22,0.33245367,373.52304
2019-09-23,0.3348308,372.06036
2019-09-24,0.3394664,369.02225
2019-09-25,0.3464881,365.34406
2019-09-26,0.34845906,365.73624
2019-09-27,0.33443573,382.4192
2019-09-28,0.33477443,383.16174
2019-09-29,0.33888203,379.99625
2019-09-30,0.33852696,381.01135
2019-10-01,0.33759943,382.3469
2019-10-02,0.33773533,382.6848
2019-10-03,0.33672094,384.27524
2019-10-04,0.33656812,385.47226
2019-10-05,0.34191155,380.78125
2019-10-06,0.34068257,382.29996
2019-10-07,0.3298705,394.38354
2019-10-08,0.32558885,403.79736
2019-10-09,0.33024463,399.1731
2019-10-10,0.3304335,399.32123
2019-10-11,0.32949677,400.71176
2019-10-12,0.33637455,395.35107
2019-10-13,0.3424108,389.78235
2019-10-14,0.34280515,390.29132
2019-10-15,0.34730172,386.0604
2019-10-16,0.35054743,383.19476
2019-10-17,0.3526923,381.40555
2019-10-18,0.35558066,380.61313
2019-10-19,0.3657475,372.34674
2019-10-20,0.38338417,359.82574
2019-10-21,0.363739,381.28644
2019-10-22,0.35218692,396.49792
2019-10-23,0.3517288,398.48428
2019-10-24,0.3545366,396.466
2019-10-25,0.37295592,380.11923
2019-10-26,0.37887654,375.241
2019-10-27,0.37986875,375.2892
2019-10-28,0.37137046,383.51483
2019-10-29,0.36982387,385.8684
2019-10-30,0.37035072,385.84354
2019-10-31,0.37130228,385.1543
2019-11-01,0.37246534,384.26855
2019-11-02,0.3768076,380.60547
2019-11-03,0.3791556,379.1904
2019-11-04,0.3776404,382.82935
2019-11-05,0.3735156,387.47534
2019-11-06,0.37603784,385.80634
2019-11-07,0.38807648,376.43085
2019-11-08,0.39199704,373.4926
2019-11-09,0.3989822,368.48856
2019-11-10,0.40258563,365.8383
2019-11-11,0.39374664,375.68192
2019-11-12,0.38237578,386.75162
2019-11-13,0.38112667,388.36777
2019-11-14,0.38551804,385.12558
2019-11-15,0.38621327,385.1918
2019-11-16,0.36249426,404.52835
2019-11-17,0.3539975,414.97528
2019-11-18,0.36175725,408.50732
2019-11-19,0.37353382,400.49887
2019-11-20,0.39222318,386.2285
2019-11-21,0.39632797,382.94193
2019-11-22,0.40090343,379.9258
2019-11-23,0.40302494,381.63785
2019-11-24,0.39561343,392.12695
2019-11-25,0.38713533,400.46054
2019-11-26,0.3894627,399.10413
2019-11-27,0.39017817,398.90167
2019-11-28,0.39184463,398.16235
2019-11-29,0.38601872,404.5081
2019-11-30,0.38362065,407.55463
2019-12-01,0.3836352,408.70633
2019-12-02,0.3793534,413.17365
2019-12-03,0.38418865,414.9993
2019-12-04,0.3849537,418.81308
2019-12-05,0.3813332,423.56454
2019-12-06,0.38078552,424.20633
2019-12-07,0.3800621,425.04065
2019-12-08,0.3765609,429.30902
2019-12-09,0.37634507,430.72778
2019-12-10,0.374326,433.64612
2019-12-11,0.37796047,430.22226
2019-12-12,0.37887552,429.36426
2019-12-13,0.3820654,426.27542
2019-12-14,0.39997742,409.50616
2019-12-15,0.40060914,409.02148
2019-12-16,0.39684317,413.0965
2019-12-17,0.3984645,411.96503
2019-12-18,0.4016958,409.16034
2019-12-19,0.40426955,406.963
2019-12-20,0.40836108,403.4704
2019-12-21,0.41005433,402.1223
2019-12-22,0.41151717,401.0199
2019-12-23,0.41052303,402.2239
2019-12-24,0.40577748,406.93045
2019-12-25,0.4033456,409.46683
2019-12-26,0.40696695,406.52808
2019-12-27,0.41250458,401.8329
2019-12-28,0.41890103,396.54596
2019-12-29,0.42268163,393.9833
2019-12-30,0.41851702,397.98685
2019-12-31,0.41762602,398.91724
2020-01-01,0.4136389,403.24054
2020-01-02,0.41348022,405.50348
2020-01-03,0.4188051,401.8586
2020-01-04,0.420549,402.17743
2020-01-05,0.42971227,394.80588
2020-01-06,0.43656445,389.50552
2020-01-07,0.44067806,386.49274
2020-01-08,0.44282883,385.01877
2020-01-09,0.44301298,385.06323
2020-01-10,0.4431137,385.32895
2020-01-11,0.4446651,384.81067
2020-01-12,0.43951428,389.9273
2020-01-13,0.43364644,396.36923
2020-01-14,0.44621718,387.73788
2020-01-15,0.43982008,394.38046
2020-01-16,0.43816465,397.30414
2020-01-17,0.4550514,389.12613
2020-01-18,0.48499787,369.155
2020-01-19,0.48539013,369.08862
2020-01-20,0.48178366,372.65652
2020-01-21,0.47997203,374.3979
2020-01-22,0.47971776,374.77658
2020-01-23,0.47890177,375.55844
2020-01-24,0.4808516,374.41824
2020-01-25,0.48305604,373.3055
2020-01-26,0.47003156,383.4797
2020-01-27,0.4725999,383.05545
2020-01-28,0.47428825,381.99866
2020-01-29,0.48316503,377.92374
2020-01-30,0.47657993,384.39514
2020-01-31,0.50590384,367.84045
2020-02-01,0.4878642,381.33435
2020-02-02,0.4905104,380.52576
2020-02-03,0.4939265,380.79398
2020-02-04,0.48718482,386.15378
2020-02-05,0.48429587,389.21442
2020-02-06,0.50116074,378.4838
2020-02-07,0.5093769,373.50284
2020-02-08,0.5151284,370.14014
2020-02-09,0.5116448,373.59167
2020-02-10,0.5041272,379.9546
2020-02-11,0.4991837,384.10867
2020-02-12,0.48986274,391.84116
2020-02-13,0.47747102,402.22302
2020-02-14,0.50652015,383.64603
2020-02-15,0.5070831,383.4801
2020-02-16,0.50386494,386.1519
2020-02-17,0.50072896,388.84225
2020-02-18,0.50103617,391.83395
2020-02-19,0.4919641,405.59912
2020-02-20,0.48052898,418.1191
2020-02-21,0.47281858,425.9906
2020-02-22,0.4743484,425.97913
2020-02-23,0.46816674,431.75928
2020-02-24,0.46196502,436.61746
2020-02-25,0.45311368,442.83725
2020-02-26,0.45043078,445.63226
2020-02-27,0.4496856,446.81345
2020-02-28,0.4497436,447.04263
2020-02-29,0.45046085,446.4588
2020-03-01,0.4518046,445.3163
2020-03-02,0.4570277,440.84598
2020-03-03,0.4606184,437.8476
2020-03-04,0.4609925,437.5889
2020-03-05,0.4608105,437.7966
2020-03-06,0.4595707,439.42508
2020-03-07,0.4644939,436.0959
2020-03-08,0.47446173,428.7449
2020-03-09,0.48430967,424.54266
2020-03-10,0.5011838,413.47675
2020-03-11,0.5122065,407.44736
2020-03-12,0.5012554,417.68518
2020-03-13,0.49662748,424.4578
2020-03-14,0.5134358,412.82233
2020-03-15,0.52948695,402.40613
2020-03-16,0.5214228,410.40427
2020-03-17,0.5234974,409.87036
2020-03-18,0.5315278,405.21133
2020-03-19,0.51689523,417.0467
2020-03-20,0.51033044,423.0526
2020-03-21,0.51817024,418.00266
2020-03-22,0.52601814,413.13477
2020-03-23,0.5334435,408.24884
2020-03-24,0.533045,408.89273
2020-03-25,0.52535135,416.3548
2020-03-26,0.5241295,420.3199
2020-03-27,0.5349059,419.10593
2020-03-28,0.5372513,422.8683
2020-03-29,0.534627,426.56003
2020-03-30,0.533552,427.61642
2020-03-31,0.5257284,433.70178
2020-04-01,0.52346313,439.23306
2020-04-02,0.5172999,445.19485
2020-04-03,0.51182634,450.0535
2020-04-04,0.5082156,453.60052
2020-04-05,0.51124436,452.42953
2020-04-06,0.53023463,438.44125
2020-04-07,0.5361826,434.2356
2020-04-08,0.54666424,426.96793
2020-04-09,0.5535713,422.40704
2020-04-10,0.5561508,420.79956
2020-04-11,0.5598595,418.46658
2020-04-12,0.56182337,417.32645
2020-04-13,0.5617805,417.53317
2020-04-14,0.5602152,420.41974
2020-04-15,0.57968634,412.96896
2020-04-16,0.5567455,433.58502
2020-04-17,0.55127776,438.40576
2020-04-18,0.54712474,443.6239
2020-04-19,0.53841215,451.9285
2020-04-20,0.57573,436.0825
2020-04-21,0.5505306,448.4413
2020-04-22,0.54204166,454.1595
2020-04-23,0.5409786,455.01678
2020-04-24,0.54036754,455.5072
2020-04-25,0.53920066,456.49335
2020-04-26,0.5364812,458.64722
2020-04-27,0.5325047,461.82858
2020-04-28,0.52726144,466.51126
2020-04-29,0.52743936,466.92456
2020-04-30,0.5345838,461.59927
2020-05-01,0.5552979,446.472
2020-05-02,0.5617075,442.05713
2020-05-03,0.56643915,438.7841
2020-05-04,0.56818295,437.6023
