"TOA5","43467","CR800","43467","CR800.Std.32.02","CPU:AWI_V2.1_Katrin.CR8","5929","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-30 22:52:33.51",649,100001,0.054,13.74,85,45.7182,123,36.447,1,11,0.7,1.7,0.007,0.76197,0.60745,10,30,22,52,32,820000
"2019-10-30 22:52:39.58",650,100002,120.2,13.73,85,45.7184,123,36.4443,1,11,0.7,1.8,7.711,0.7619734,0.607405,10,30,22,52,38,890000
"2019-10-30 22:53:44.53",651,100003,3.234,13.73,85,45.7204,123,36.4358,1,12,0.7,6,0.211,0.7620067,0.6072633,10,30,22,53,43,850000
"2019-10-30 22:54:41",652,100004,18.68,13.72,85,45.7221,123,36.4155,1,12,0.7,6.3,1.202,0.762035,0.606925,10,30,22,54,40,320000
"2019-10-30 22:54:43.15",653,100005,21.98,13.72,85,45.7222,123,36.4148,1,12,0.7,6.4,1.413,0.7620366,0.6069133,10,30,22,54,42,470000
"2019-10-30 22:54:45.65",654,100006,14.37,13.72,85,45.7227,123,36.4343,1,12,0.7,6,0.925,0.762045,0.6072384,10,30,22,54,44,970000
"2019-10-30 22:54:48.04",655,100007,20.16,13.72,85,45.723,123,36.445,1,12,0.7,6,1.296,0.76205,0.6074167,10,30,22,54,47,360000
"2019-10-30 22:54:50.39",656,100008,22.09,13.72,85,45.7232,123,36.4601,1,12,0.7,5.8,1.42,0.7620534,0.6076683,10,30,22,54,49,700000
"2019-10-30 22:54:52.52",657,100009,15.22,13.72,85,45.7236,123,36.4799,1,12,0.7,5.3,0.979,0.76206,0.6079983,10,30,22,54,51,840000
"2019-10-30 22:54:54.85",658,100010,10.05,13.72,85,45.7239,123,36.4932,1,12,0.7,5,0.648,0.762065,0.60822,10,30,22,54,54,170000
"2019-10-30 22:54:57.04",659,100011,13.63,13.72,85,45.724,123,36.5053,1,12,0.7,4.6,0.878,0.7620666,0.6084216,10,30,22,54,56,360000
"2019-10-30 22:54:59.24",660,100012,20.16,13.72,85,45.7243,123,36.5181,1,12,0.7,4.2,1.296,0.7620717,0.608635,10,30,22,54,58,560000
"2019-10-30 22:55:01.44",661,100013,9.03,13.72,85,45.7247,123,36.5328,1,12,0.7,3.7,0.583,0.7620783,0.60888,10,30,22,55,0,760000
"2019-10-30 22:55:04.98",662,100014,15.45,13.72,85,45.7246,123,36.5471,1,12,0.7,3.3,0.994,0.7620766,0.6091184,10,30,22,55,4,300000
"2019-10-30 22:55:47.74",663,100015,21.53,13.71,85,45.7254,123,36.5336,1,12,0.7,2.3,1.384,0.76209,0.6088933,10,30,22,55,47,60000
"2019-10-30 22:55:50.16",664,100016,10.22,13.71,85,45.7253,123,36.5445,1,12,0.7,2.2,0.659,0.7620883,0.609075,10,30,22,55,49,480000
"2019-10-30 22:55:52.97",665,100017,15.05,13.71,85,45.7253,123,36.5621,1,12,0.7,2.1,0.969,0.7620883,0.6093683,10,30,22,55,52,290000
"2019-10-30 22:55:55.33",666,100018,15.05,13.71,85,45.7253,123,36.575,1,12,0.7,2,0.969,0.7620883,0.6095833,10,30,22,55,54,650000
"2019-10-30 22:55:57.62",667,100019,15.62,13.71,85,45.7251,123,36.5942,1,12,0.7,1.7,1.005,0.762085,0.6099033,10,30,22,55,56,940000
"2019-10-30 22:55:59.86",668,100020,15.05,13.71,85,45.7249,123,36.6053,1,12,0.7,1.5,0.969,0.7620817,0.6100884,10,30,22,55,59,180000
"2019-10-30 22:56:02.17",669,100021,17.21,13.71,85,45.725,123,36.6168,1,12,0.7,1.6,1.107,0.7620833,0.61028,10,30,22,56,1,490000
"2019-10-30 22:56:04.59",670,100022,18,13.71,85,45.725,123,36.6343,1,12,0.7,1.3,1.158,0.7620833,0.6105717,10,30,22,56,3,910000
"2019-10-30 22:56:07.22",671,100023,19.37,13.71,85,45.7249,123,36.6454,1,12,0.7,1.2,1.245,0.7620817,0.6107567,10,30,22,56,6,540000
"2019-10-30 22:56:09.59",672,100024,15.05,13.71,85,45.7247,123,36.6626,1,12,0.7,1,0.969,0.7620783,0.6110433,10,30,22,56,8,910000
"2019-10-30 22:56:12.13",673,100025,18.4,13.71,85,45.7246,123,36.6752,1,12,0.7,0.7,1.183,0.7620766,0.6112534,10,30,22,56,11,450000
"2019-10-30 22:56:14.51",674,100026,18.12,13.71,85,45.7244,123,36.6912,1,12,0.7,0.4,1.165,0.7620734,0.61152,10,30,22,56,13,830000
"2019-10-30 22:56:16.89",675,100027,22.83,13.71,85,45.7242,123,36.702,1,12,0.7,0.1,1.467,0.76207,0.6117,10,30,22,56,16,210000
"2019-10-30 22:56:19.17",676,100028,18.46,13.7,85,45.7241,123,36.7127,1,12,0.7,0,1.187,0.7620683,0.6118783,10,30,22,56,18,490000
"2019-10-30 22:56:21.62",677,100029,13.57,13.71,85,45.7238,123,36.7275,1,12,0.7,-0.2,0.874,0.7620634,0.612125,10,30,22,56,20,940000
"2019-10-30 22:56:24.15",678,100030,22.66,13.7,85,45.7237,123,36.7371,1,12,0.7,-0.4,1.457,0.7620617,0.612285,10,30,22,56,23,470000
"2019-10-30 22:56:26.48",679,100031,16.53,13.71,85,45.7234,123,36.7524,1,12,0.7,-0.8,1.063,0.7620566,0.61254,10,30,22,56,25,800000
"2019-10-30 22:56:29.1",680,100032,11.41,13.7,85,45.7233,123,36.763,1,12,0.7,-1,0.736,0.762055,0.6127167,10,30,22,56,28,420000
"2019-10-30 22:56:31.77",681,100033,21.19,13.71,85,45.7229,123,36.7732,1,12,0.7,-1.1,1.362,0.7620484,0.6128867,10,30,22,56,31,90000
"2019-10-30 22:56:34.12",682,100034,14.71,13.7,85,45.7222,123,36.7776,1,11,0.7,-1.4,0.947,0.7620366,0.61296,10,30,22,56,33,440000
"2019-10-30 22:56:36.29",683,100035,9.99,13.71,85,45.7211,123,36.7809,1,12,0.7,-1.7,0.645,0.7620183,0.613015,10,30,22,56,35,610000
"2019-10-30 22:56:38.25",684,100036,8.01,13.7,85,45.7202,123,36.7869,1,12,0.7,-1.8,0.517,0.7620033,0.613115,10,30,22,56,37,570000
"2019-10-30 22:56:40.32",685,100037,7.041,13.7,85,45.7191,123,36.791,1,12,0.7,-2,0.455,0.761985,0.6131833,10,30,22,56,39,640000
"2019-10-30 22:56:42.63",686,100038,7.95,13.7,85,45.7177,123,36.7946,1,12,0.7,-2.2,0.513,0.7619617,0.6132434,10,30,22,56,41,950000
"2019-10-30 22:56:44.82",687,100039,8.57,13.7,85,45.7169,123,36.7978,1,12,0.7,-2.4,0.553,0.7619483,0.6132966,10,30,22,56,44,140000
"2019-10-30 22:56:46.73",688,100040,7.495,13.7,85,45.716,123,36.8029,1,12,0.7,-2.6,0.484,0.7619334,0.6133816,10,30,22,56,46,50000
"2019-10-30 22:56:48.94",689,100041,7.666,13.7,85,45.7151,123,36.8068,1,12,0.7,-2.7,0.495,0.7619183,0.6134466,10,30,22,56,48,260000
"2019-10-30 22:56:50.96",690,100042,9.43,13.7,85,45.7143,123,36.8103,1,12,0.7,-2.8,0.608,0.761905,0.613505,10,30,22,56,50,280000
"2019-10-30 22:56:53.01",691,100043,9.14,13.7,85,45.7134,123,36.8138,1,12,0.7,-2.9,0.59,0.7618901,0.6135634,10,30,22,56,52,330000
"2019-10-30 22:56:55.06",692,100044,9.71,13.7,85,45.7125,123,36.8168,1,12,0.7,-3,0.626,0.761875,0.6136133,10,30,22,56,54,380000
"2019-10-30 22:56:57.12",693,100045,10.62,13.7,85,45.7117,123,36.8194,1,12,0.7,-3,0.685,0.7618617,0.6136567,10,30,22,56,56,440000
"2019-10-30 22:56:59.22",694,100046,13.4,13.7,85,45.7109,123,36.8215,1,12,0.7,-3.1,0.863,0.7618483,0.6136916,10,30,22,56,58,540000
"2019-10-30 22:57:01.53",695,100047,13.52,13.7,85,45.7097,123,36.8262,1,12,0.7,-3.1,0.87,0.7618284,0.61377,10,30,22,57,0,850000
"2019-10-30 22:57:03.75",696,100048,9.6,13.7,85,45.7088,123,36.8292,1,12,0.7,-3.3,0.619,0.7618134,0.61382,10,30,22,57,3,70000
"2019-10-30 22:57:05.71",697,100049,8.8,13.7,85,45.7078,123,36.8343,1,12,0.7,-3.4,0.568,0.7617967,0.613905,10,30,22,57,5,30000
"2019-10-30 22:57:08.01",698,100050,9.14,13.7,85,45.7068,123,36.8392,1,12,0.7,-3.6,0.59,0.76178,0.6139867,10,30,22,57,7,330000
"2019-10-30 22:57:10.04",699,100051,7.666,13.7,85,45.706,123,36.8415,1,12,0.7,-3.7,0.495,0.7617666,0.614025,10,30,22,57,9,360000
"2019-10-30 22:57:12.22",700,100052,7.268,13.7,85,45.7052,123,36.845,1,12,0.7,-3.9,0.47,0.7617534,0.6140834,10,30,22,57,11,540000
"2019-10-30 22:57:14.43",701,100053,11.07,13.7,85,45.7039,123,36.8489,1,12,0.7,-4,0.714,0.7617317,0.6141483,10,30,22,57,13,750000
"2019-10-30 22:57:16.47",702,100054,10.85,13.7,85,45.7031,123,36.852,1,12,0.7,-4.1,0.699,0.7617183,0.6142,10,30,22,57,15,790000
"2019-10-30 22:57:18.58",703,100055,9.03,13.7,85,45.7023,123,36.8551,1,12,0.7,-4.2,0.583,0.761705,0.6142517,10,30,22,57,17,900000
"2019-10-30 22:57:24.13",704,100056,10.9,13.7,85,45.7016,123,36.8615,1,12,0.7,-4.6,0.703,0.7616933,0.6143583,10,30,22,57,23,450000
"2019-10-30 22:57:26.24",705,100057,14.26,13.7,85,45.7015,123,36.8622,1,11,0.7,-4.7,0.918,0.7616917,0.61437,10,30,22,57,25,560000
"2019-10-30 22:57:28.46",706,100058,9.26,13.69,85,45.7003,123,36.8669,1,12,0.7,-4.9,0.597,0.7616717,0.6144484,10,30,22,57,27,780000
"2019-10-30 22:57:30.5",707,100059,9.6,13.7,85,45.6994,123,36.8706,1,12,0.7,-5.1,0.619,0.7616567,0.61451,10,30,22,57,29,820000
"2019-10-30 22:57:32.75",708,100060,9.82,13.7,85,45.6985,123,36.8743,1,12,0.7,-5.2,0.634,0.7616417,0.6145716,10,30,22,57,32,70000
"2019-10-30 22:57:34.84",709,100061,9.31,13.7,85,45.6976,123,36.877,1,11,0.7,-5.3,0.601,0.7616266,0.6146166,10,30,22,57,34,160000
"2019-10-30 22:57:36.91",710,100062,9.94,13.7,85,45.6967,123,36.8813,1,11,0.7,-5.3,0.641,0.7616117,0.6146883,10,30,22,57,36,230000
"2019-10-30 22:57:38.91",711,100063,8.23,13.7,85,45.6958,123,36.8843,1,11,0.7,-5.5,0.532,0.7615966,0.6147384,10,30,22,57,38,230000
"2019-10-30 22:57:40.87",712,100064,8.46,13.7,85,45.6949,123,36.8885,1,12,0.7,-5.6,0.546,0.7615817,0.6148083,10,30,22,57,40,190000
"2019-10-30 22:57:43",713,100065,8.46,13.7,85,45.6939,123,36.8916,1,12,0.7,-5.7,0.546,0.761565,0.61486,10,30,22,57,42,320000
"2019-10-30 22:57:45.13",714,100066,9.14,13.69,85,45.6929,123,36.8951,1,12,0.7,-5.8,0.59,0.7615483,0.6149184,10,30,22,57,44,450000
"2019-10-30 22:57:47.48",715,100067,7.95,13.69,85,45.6914,123,36.9005,1,12,0.7,-5.9,0.513,0.7615233,0.6150084,10,30,22,57,46,800000
"2019-10-30 22:57:49.65",716,100068,9.2,13.7,85,45.6905,123,36.9024,1,12,0.7,-5.9,0.594,0.7615083,0.61504,10,30,22,57,48,970000
"2019-10-30 22:57:51.89",717,100069,8.57,13.7,85,45.6896,123,36.9045,1,12,0.7,-6,0.554,0.7614934,0.615075,10,30,22,57,51,210000
"2019-10-30 22:57:53.53",718,100070,0.054,13.69,85,45.6888,123,36.9079,1,12,0.7,-6,0.007,0.76148,0.6151317,10,30,22,57,52,850000
"2019-10-30 22:57:55.13",719,100071,7.325,13.69,85,45.6884,123,36.9083,1,12,0.7,-6,0.473,0.7614734,0.6151383,10,30,22,57,54,450000
"2019-10-30 22:57:57.65",720,100072,6.416,13.7,85,45.6878,123,36.9086,1,12,0.7,-6.1,0.415,0.7614634,0.6151434,10,30,22,57,56,970000
"2019-10-30 22:58:00.04",721,100073,10.39,13.7,85,45.687,123,36.9115,1,12,0.7,-6.1,0.67,0.76145,0.6151916,10,30,22,57,59,360000
"2019-10-30 22:58:02.33",722,100074,7.439,13.69,85,45.6862,123,36.9152,1,12,0.7,-6.2,0.481,0.7614366,0.6152533,10,30,22,58,1,650000
"2019-10-30 22:58:04.58",723,100075,9.94,13.69,85,45.685,123,36.9186,1,12,0.7,-6.3,0.641,0.7614166,0.61531,10,30,22,58,3,900000
"2019-10-30 22:58:06.75",724,100076,10.73,13.69,85,45.6841,123,36.9205,1,12,0.7,-6.4,0.692,0.7614017,0.6153417,10,30,22,58,6,70000
"2019-10-30 22:58:09.11",725,100077,11.98,13.69,85,45.6833,123,36.9222,1,12,0.7,-6.5,0.772,0.7613884,0.61537,10,30,22,58,8,430000
"2019-10-30 22:58:11.36",726,100078,12.1,13.69,85,45.682,123,36.9251,1,12,0.7,-6.6,0.779,0.7613666,0.6154183,10,30,22,58,10,680000
"2019-10-30 22:58:13.7",727,100079,10.34,13.69,85,45.6812,123,36.9277,1,12,0.7,-6.7,0.666,0.7613533,0.6154616,10,30,22,58,13,20000
"2019-10-30 22:58:15.93",728,100080,9.94,13.69,85,45.6804,123,36.9307,1,12,0.7,-6.7,0.641,0.76134,0.6155116,10,30,22,58,15,250000
"2019-10-30 22:58:18.27",729,100081,10.39,13.69,85,45.6796,123,36.9331,1,12,0.7,-6.8,0.67,0.7613266,0.6155517,10,30,22,58,17,590000
"2019-10-30 22:58:20.54",730,100082,8.69,13.69,85,45.6784,123,36.9366,1,12,0.7,-6.9,0.561,0.7613066,0.61561,10,30,22,58,19,860000
"2019-10-30 22:58:22.86",731,100083,9.94,13.69,85,45.6775,123,36.9385,1,12,0.7,-7,0.641,0.7612917,0.6156416,10,30,22,58,22,180000
