TOA5,43467,CR800,43467,CR800.Std.32.02,CPU:AWI_V2.1_Katrin.CR8,5929,OperatorView,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Counter,DepthCm,BattVolts,latitude_a,latitude_b,Longitude_a,Longitude_b,fix_quality,nmbr_satellites,HDOP,altitudeB,DepthVolts,LatitudeDDDDD,LongitudeDDDDD,month,dayofmonth,hourofday,minutes,seconds,microseconds
TS,RN,,,,degrees,minutes,degrees,minutes,unitless,,,,,,,,,,,,
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2019-12-19 05:30:28.12,9116,100001,0.11,13.06,86,40.592,112,55.3658,1,11,0.7,-2,0.011,0.6765334,0.9227633,12,19,5,30,27,430000
2019-12-19 05:30:51.74,9117,100002,120.3,13.05,86,40.5917,112,55.359,1,11,0.7,-2.3,7.715,0.6765283,0.92265,12,19,5,30,51,60000
2019-12-19 05:55:11.59,9118,100003,28.59,12.87,86,40.8198,112,52.4453,1,10,0.7,4.4,1.837,0.68033,0.8740883,12,19,5,55,10,910000
2019-12-19 05:55:17.31,9119,100004,37.57,12.87,86,40.8202,112,52.45,1,10,0.7,4.2,2.412,0.6803367,0.8741666,12,19,5,55,16,630000
2019-12-19 05:55:22.28,9120,100005,32.29,12.86,86,40.8205,112,52.457,1,10,0.7,3.7,2.073,0.6803417,0.8742834,12,19,5,55,21,600000
2019-12-19 05:55:27.61,9121,100006,31.32,12.87,86,40.8209,112,52.4609,1,10,0.7,3.4,2.012,0.6803483,0.8743483,12,19,5,55,26,930000
2019-12-19 05:55:32.27,9122,100007,29.5,12.86,86,40.821,112,52.4663,1,10,0.7,3.5,1.895,0.68035,0.8744383,12,19,5,55,31,590000
2019-12-19 05:55:36.12,9123,100008,22.68,12.87,86,40.8212,112,52.4735,1,10,0.7,3.4,1.458,0.6803534,0.8745583,12,19,5,55,35,430000
2019-12-19 05:55:40.57,9124,100009,22.68,12.86,86,40.8213,112,52.4855,1,10,0.7,3.5,1.458,0.680355,0.8747584,12,19,5,55,39,890000
2019-12-19 05:55:44.73,9125,100010,22.51,12.87,86,40.8216,112,52.4965,1,10,0.7,3.3,1.447,0.68036,0.8749417,12,19,5,55,44,50000
2019-12-19 05:55:49.81,9126,100011,26.09,12.86,86,40.8219,112,52.51,1,10,0.7,3.2,1.676,0.680365,0.8751666,12,19,5,55,49,130000
2019-12-19 05:57:47.62,9127,100012,24.73,12.85,86,40.8214,112,52.4749,1,9,0.8,1.7,1.589,0.6803567,0.8745816,12,19,5,57,46,940000
2019-12-19 06:17:30.43,9128,100013,28.59,12.72,86,40.8144,112,52.0019,1,10,0.7,4.8,1.837,0.68024,0.8666983,12,19,6,17,29,750000
2019-12-19 06:17:35.14,9129,100014,33.25,12.71,86,40.8147,112,52.0141,1,10,0.7,5,2.135,0.680245,0.8669016,12,19,6,17,34,460000
2019-12-19 06:17:39.26,9130,100015,27.97,12.71,86,40.8152,112,52.0266,1,10,0.7,5,1.797,0.6802534,0.86711,12,19,6,17,38,580000
2019-12-19 06:17:43.49,9131,100016,29.84,12.72,86,40.8157,112,52.0377,1,10,0.7,5.1,1.917,0.6802617,0.867295,12,19,6,17,42,810000
