"TOA5","43467","CR800","43467","CR800.Std.32.02","CPU:AWI_V2.1_Katrin.CR8","5929","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-12-22 04:58:04.45",9786,100001,19.49,13.4,86,39.9845,112,36.8187,1,8,0.9,-8,1.253,0.6664084,0.613645,12,22,4,58,3,770000
"2019-12-22 04:58:33.83",9787,100002,0.054,13.39,86,39.984,112,36.825,1,9,0.8,-6.3,0.007,0.6664,0.61375,12,22,4,58,33,150000
"2019-12-22 04:58:39.71",9788,100003,120.3,13.39,86,39.984,112,36.827,1,9,0.8,-6.3,7.716,0.6664,0.6137833,12,22,4,58,39,30000
"2019-12-22 04:58:50.97",9789,100004,13.69,13.38,86,39.9833,112,36.8312,1,9,0.8,-6.6,0.882,0.6663883,0.6138533,12,22,4,58,50,290000
"2019-12-22 05:07:16.77",9790,100005,8.24,13.25,86,39.9786,112,36.8671,1,10,0.7,-8.1,0.532,0.66631,0.6144516,12,22,5,7,16,90000
"2019-12-22 05:07:21.5",9791,100006,9.49,13.25,86,39.9792,112,36.8638,1,10,0.7,-8,0.612,0.66632,0.6143967,12,22,5,7,20,820000
"2019-12-22 05:07:34.61",9792,100007,11.42,13.25,86,39.9792,112,36.8615,1,10,0.7,-7.7,0.736,0.66632,0.6143583,12,22,5,7,33,930000
"2019-12-22 05:47:45.11",9793,100008,10.06,12.98,86,39.9402,112,37.3343,1,10,0.7,1.4,0.649,0.66567,0.6222383,12,22,5,47,44,430000
"2019-12-22 05:49:34.75",9794,100009,10.01,12.95,86,39.9394,112,37.3505,1,10,0.7,0.6,0.645,0.6656567,0.6225083,12,22,5,49,34,70000
"2019-12-22 05:49:38.78",9795,100010,10.52,12.95,86,39.9399,112,37.3476,1,10,0.7,0.6,0.678,0.665665,0.62246,12,22,5,49,38,100000
"2019-12-22 05:49:42.18",9796,100011,8.24,12.95,86,39.9403,112,37.3447,1,10,0.8,0.5,0.532,0.6656716,0.6224117,12,22,5,49,41,500000
"2019-12-22 05:49:45.92",9797,100012,9.84,12.94,86,39.9411,112,37.3356,1,10,0.7,0.5,0.634,0.665685,0.62226,12,22,5,49,45,240000
"2019-12-22 05:49:49.55",9798,100013,9.61,12.95,86,39.9419,112,37.329,1,10,0.7,0.5,0.62,0.6656983,0.62215,12,22,5,49,48,870000
"2019-12-22 05:49:52.37",9799,100014,10.86,12.95,86,39.9425,112,37.3226,1,10,0.7,0.5,0.7,0.6657084,0.6220434,12,22,5,49,51,690000
"2019-12-22 05:49:55.15",9800,100015,10.69,12.94,86,39.943,112,37.3201,1,10,0.8,0.5,0.689,0.6657167,0.6220016,12,22,5,49,54,470000
"2019-12-22 05:49:57.74",9801,100016,11.09,12.94,86,39.9439,112,37.3121,1,10,0.7,0.4,0.715,0.6657317,0.6218683,12,22,5,49,57,60000
"2019-12-22 05:50:00.49",9802,100017,11.66,12.94,86,39.9447,112,37.3029,1,10,0.7,0.5,0.751,0.665745,0.621715,12,22,5,49,59,810000
"2019-12-22 05:50:03.26",9803,100018,10.86,12.94,86,39.9452,112,37.2999,1,10,0.7,0.4,0.7,0.6657534,0.621665,12,22,5,50,2,580000
"2019-12-22 05:50:06.13",9804,100019,14.04,12.93,86,39.946,112,37.2924,1,10,0.8,0.4,0.904,0.6657666,0.62154,12,22,5,50,5,450000
"2019-12-22 05:50:09.13",9805,100020,11.6,12.94,86,39.9467,112,37.2856,1,10,0.8,0.3,0.747,0.6657783,0.6214266,12,22,5,50,8,450000
"2019-12-22 05:50:12.09",9806,100021,2.101,12.93,86,39.9473,112,37.2805,1,10,0.8,0.2,0.139,0.6657884,0.6213416,12,22,5,50,11,410000
"2019-12-22 05:50:15.61",9807,100022,12.79,12.93,86,39.948,112,37.2736,1,10,0.7,0.3,0.824,0.6658,0.6212267,12,22,5,50,14,930000
"2019-12-22 05:50:18.44",9808,100023,13.02,12.93,86,39.9487,112,37.2676,1,10,0.7,0.3,0.839,0.6658116,0.6211267,12,22,5,50,17,760000
"2019-12-22 05:50:21.1",9809,100024,13.25,12.94,86,39.949,112,37.2645,1,10,0.8,0.2,0.853,0.6658167,0.621075,12,22,5,50,20,420000
"2019-12-22 05:50:23.96",9810,100025,8.36,12.93,86,39.9498,112,37.2571,1,10,0.8,0.3,0.54,0.66583,0.6209516,12,22,5,50,23,280000
"2019-12-22 05:50:26.5",9811,100026,9.84,12.93,86,39.9507,112,37.2477,1,10,0.7,0.3,0.634,0.665845,0.620795,12,22,5,50,25,820000
"2019-12-22 05:50:28.98",9812,100027,10.06,12.93,86,39.9511,112,37.2434,1,10,0.7,0.2,0.649,0.6658516,0.6207234,12,22,5,50,28,300000
"2019-12-22 05:50:31.45",9813,100028,16.09,12.93,86,39.9521,112,37.2341,1,10,0.7,0.4,1.035,0.6658684,0.6205683,12,22,5,50,30,770000
"2019-12-22 05:50:33.98",9814,100029,8.7,12.93,86,39.9526,112,37.2301,1,10,0.8,0.5,0.561,0.6658766,0.6205016,12,22,5,50,33,300000
"2019-12-22 05:50:36.61",9815,100030,9.27,12.93,86,39.9535,112,37.2233,1,10,0.8,0.4,0.598,0.6658916,0.6203883,12,22,5,50,35,930000
"2019-12-22 05:50:39.51",9816,100031,12.91,12.93,86,39.9544,112,37.216,1,10,0.7,0.5,0.831,0.6659067,0.6202667,12,22,5,50,38,830000
"2019-12-22 05:50:42.18",9817,100032,12.11,12.93,86,39.9548,112,37.2125,1,10,0.7,0.4,0.78,0.6659134,0.6202084,12,22,5,50,41,500000
"2019-12-22 05:50:45.64",9818,100033,21.1,12.93,86,39.9558,112,37.203,1,10,0.7,0.5,1.356,0.66593,0.62005,12,22,5,50,44,960000
"2019-12-22 05:50:48.48",9819,100034,13.02,12.93,86,39.9564,112,37.1975,1,10,0.7,0.4,0.839,0.66594,0.6199583,12,22,5,50,47,800000
"2019-12-22 05:50:51.06",9820,100035,9.84,12.93,86,39.957,112,37.1931,1,10,0.8,0.3,0.634,0.66595,0.619885,12,22,5,50,50,380000
"2019-12-22 05:50:53.6",9821,100036,17.46,12.93,86,39.958,112,37.184,1,10,0.7,0.4,1.123,0.6659667,0.6197333,12,22,5,50,52,920000
"2019-12-22 05:50:56.22",9822,100037,20.59,12.93,86,39.9584,112,37.1802,1,10,0.7,0.4,1.323,0.6659734,0.61967,12,22,5,50,55,540000
"2019-12-22 05:50:58.88",9823,100038,9.72,12.93,86,39.9593,112,37.174,1,10,0.8,0.3,0.627,0.6659883,0.6195667,12,22,5,50,58,200000
"2019-12-22 05:51:01.96",9824,100039,15.01,12.93,86,39.96,112,37.1698,1,10,0.8,0.2,0.966,0.666,0.6194966,12,22,5,51,1,280000
"2019-12-22 05:51:05.35",9825,100040,9.67,12.93,86,39.961,112,37.1625,1,10,0.7,0.2,0.623,0.6660166,0.619375,12,22,5,51,4,670000
"2019-12-22 05:51:33.41",9826,100041,9.95,12.92,86,39.9613,112,37.1621,1,10,0.7,0.1,0.642,0.6660216,0.6193684,12,22,5,51,32,730000
"2019-12-22 05:51:36.24",9827,100042,8.47,12.92,86,39.9616,112,37.1587,1,10,0.7,0.1,0.547,0.6660267,0.6193116,12,22,5,51,35,560000
"2019-12-22 05:51:39.25",9828,100043,10.29,12.92,86,39.9624,112,37.1505,1,10,0.7,0.1,0.664,0.66604,0.619175,12,22,5,51,38,570000
"2019-12-22 05:51:42.19",9829,100044,18.37,12.92,86,39.9634,112,37.1422,1,10,0.7,0.1,1.181,0.6660567,0.6190367,12,22,5,51,41,510000
"2019-12-22 05:51:46",9830,100045,17.23,12.92,86,39.9643,112,37.1348,1,10,0.7,0.2,1.108,0.6660716,0.6189134,12,22,5,51,45,320000
"2019-12-22 05:51:50.06",9831,100046,14.05,12.91,86,39.965,112,37.1287,1,10,0.7,0.2,0.904,0.6660833,0.6188117,12,22,5,51,49,380000
"2019-12-22 05:51:54.71",9832,100047,14.73,12.91,86,39.9657,112,37.1225,1,10,0.7,0.2,0.948,0.666095,0.6187084,12,22,5,51,54,30000
"2019-12-22 05:51:58.25",9833,100048,12.23,12.91,86,39.9664,112,37.1173,1,10,0.7,0.1,0.788,0.6661066,0.6186216,12,22,5,51,57,570000
"2019-12-22 05:52:01.65",9834,100049,17.57,12.91,86,39.9677,112,37.107,1,10,0.7,0,1.13,0.6661283,0.61845,12,22,5,52,0,970000
"2019-12-22 05:52:05.73",9835,100050,15.98,12.92,86,39.9686,112,37.0992,1,10,0.7,0.1,1.028,0.6661434,0.61832,12,22,5,52,5,50000
"2019-12-22 05:52:09.01",9836,100051,15.81,12.91,86,39.969,112,37.0962,1,10,0.7,0,1.017,0.66615,0.61827,12,22,5,52,8,330000
"2019-12-22 05:52:12.51",9837,100052,13.93,12.91,86,39.9699,112,37.0898,1,10,0.7,0.1,0.897,0.666165,0.6181634,12,22,5,52,11,830000
"2019-12-22 05:52:15.86",9838,100053,12.57,12.91,86,39.9706,112,37.0859,1,10,0.7,0.1,0.809,0.6661767,0.6180983,12,22,5,52,15,180000
"2019-12-22 05:52:18.84",9839,100054,10.75,12.91,86,39.9712,112,37.0819,1,10,0.7,-0.1,0.693,0.6661866,0.6180317,12,22,5,52,18,160000
"2019-12-22 05:52:22.35",9840,100055,11.43,12.91,86,39.9721,112,37.0747,1,10,0.7,0,0.736,0.6662016,0.6179116,12,22,5,52,21,670000
"2019-12-22 05:52:25.89",9841,100056,13.7,12.91,86,39.9729,112,37.0676,1,10,0.7,0,0.882,0.666215,0.6177933,12,22,5,52,25,210000
"2019-12-22 05:52:29.52",9842,100057,12.79,12.9,86,39.9739,112,37.0597,1,10,0.7,-0.1,0.824,0.6662317,0.6176616,12,22,5,52,28,840000
"2019-12-22 05:52:33.07",9843,100058,13.59,12.91,86,39.9746,112,37.0549,1,10,0.7,-0.1,0.875,0.6662434,0.6175817,12,22,5,52,32,390000
"2019-12-22 05:52:36.61",9844,100059,10.29,12.91,86,39.9755,112,37.0467,1,10,0.7,-0.1,0.664,0.6662583,0.617445,12,22,5,52,35,930000
"2019-12-22 05:52:39.52",9845,100060,9.61,12.9,86,39.9762,112,37.0404,1,10,0.7,0,0.62,0.66627,0.61734,12,22,5,52,38,840000
"2019-12-22 05:52:42.68",9846,100061,18.54,12.9,86,39.9768,112,37.0343,1,10,0.7,0.1,1.192,0.66628,0.6172384,12,22,5,52,42,0
"2019-12-22 05:52:45.53",9847,100062,12.23,12.91,86,39.9774,112,37.0284,1,10,0.7,0.1,0.788,0.66629,0.61714,12,22,5,52,44,850000
"2019-12-22 05:52:49.27",9848,100063,11.83,12.9,86,39.9781,112,37.0235,1,10,0.7,0.1,0.762,0.6663017,0.6170583,12,22,5,52,48,590000
"2019-12-22 05:52:52.39",9849,100064,12.11,12.9,86,39.9789,112,37.0171,1,10,0.7,0.1,0.78,0.666315,0.6169517,12,22,5,52,51,710000
"2019-12-22 05:52:55.89",9850,100065,17.34,12.9,86,39.9796,112,37.0104,1,10,0.7,0.3,1.116,0.6663266,0.61684,12,22,5,52,55,210000
"2019-12-22 05:52:59.02",9851,100066,16.61,12.9,86,39.9801,112,37.0057,1,10,0.7,0.3,1.068,0.666335,0.6167616,12,22,5,52,58,340000
"2019-12-22 05:53:02.26",9852,100067,15.18,12.9,86,39.9807,112,37.0009,1,10,0.7,0.2,0.977,0.666345,0.6166817,12,22,5,53,1,580000
"2019-12-22 05:53:05.79",9853,100068,34.81,12.9,86,39.9815,112,36.993,1,10,0.7,0.3,2.235,0.6663583,0.61655,12,22,5,53,5,110000
"2019-12-22 05:53:09.37",9854,100069,27.01,12.9,86,39.9821,112,36.9876,1,10,0.7,0.4,1.735,0.6663684,0.61646,12,22,5,53,8,690000
"2019-12-22 05:53:13",9855,100070,12.11,12.9,86,39.9824,112,36.9838,1,10,0.8,0.4,0.78,0.6663733,0.6163967,12,22,5,53,12,320000
"2019-12-22 05:53:16.3",9856,100071,14.05,12.9,86,39.983,112,36.9802,1,10,0.7,0.2,0.904,0.6663834,0.6163367,12,22,5,53,15,620000
"2019-12-22 05:53:20.24",9857,100072,21.44,12.9,86,39.9837,112,36.9747,1,10,0.7,0.4,1.378,0.666395,0.616245,12,22,5,53,19,560000
"2019-12-22 05:53:31.59",9858,100073,18.03,12.89,86,39.9827,112,36.9491,1,10,0.7,0.3,1.159,0.6663783,0.6158183,12,22,5,53,30,910000
"2019-12-22 05:53:55.44",9859,100074,15.13,12.89,86,39.982,112,36.9432,1,10,0.7,0.3,0.973,0.6663666,0.61572,12,22,5,53,54,760000
"2019-12-22 05:53:58.27",9860,100075,14.39,12.89,86,39.9818,112,36.9378,1,10,0.7,0.3,0.926,0.6663634,0.61563,12,22,5,53,57,590000
"2019-12-22 05:54:00.95",9861,100076,27.13,12.89,86,39.9812,112,36.9247,1,10,0.7,0.4,1.743,0.6663534,0.6154117,12,22,5,54,0,270000
"2019-12-22 05:54:03.47",9862,100077,24.4,12.89,86,39.9806,112,36.9136,1,10,0.7,0.3,1.568,0.6663433,0.6152267,12,22,5,54,2,790000
"2019-12-22 05:54:06",9863,100078,22.69,12.89,86,39.9803,112,36.9071,1,10,0.7,0.2,1.458,0.6663383,0.6151183,12,22,5,54,5,320000
"2019-12-22 05:54:08.19",9864,100079,15.87,12.89,86,39.9799,112,36.9004,1,10,0.7,0.2,1.021,0.6663316,0.6150066,12,22,5,54,7,510000
"2019-12-22 05:54:10.37",9865,100080,12.62,12.89,86,39.9793,112,36.8859,1,10,0.7,0.2,0.813,0.6663217,0.614765,12,22,5,54,9,690000
"2019-12-22 05:54:12.52",9866,100081,12.11,12.89,86,39.979,112,36.877,1,10,0.7,0.2,0.78,0.6663167,0.6146166,12,22,5,54,11,840000
"2019-12-22 05:54:15.85",9867,100082,12.74,12.89,86,39.9785,112,36.8677,1,10,0.7,0.3,0.82,0.6663084,0.6144617,12,22,5,54,15,170000
