"TOA5","CR800 Series","CR800","12103","CR800.Std.08","CPU:GPSProbeNew_BCE.CR8","60029","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2000-05-22 11:08:11.25",78823,100001,-0.158,13.1,87,6.7574,114,59.8989,1,7,6.7,0.011,0.1126233,0.998315,5,22,11,8,11,860000
"2000-05-22 11:08:11.5",78824,100002,123.6,13.1,87,6.7569,114,59.8952,1,7,8,7.863,0.112615,0.9982533,5,22,11,8,20,160000
"2000-05-22 11:09:38.25",78825,100003,25.6,13.09,87,6.7577,114,59.8438,1,9,5.5,1.645,0.1126283,0.9973966,5,22,11,9,38,860000
"2000-05-22 11:09:38.5",78826,100004,3.571,13.07,87,6.7558,114,59.8263,1,9,3,0.248,0.1125967,0.997105,5,22,11,10,48,520000
"2000-05-22 11:09:39.25",78827,100005,10.69,13,87,6.7465,114,59.7249,1,9,2.1,0.699,0.1124417,0.995415,5,22,11,14,29,110000
"2000-05-22 11:09:40.25",78828,100006,11.6,12.99,87,6.7468,114,59.7187,1,9,1.8,0.757,0.1124467,0.9953117,5,22,11,14,32,650000
"2000-05-22 11:09:41",78829,100007,15.33,12.99,87,6.7474,114,59.7148,1,9,1.9,0.994,0.1124567,0.9952467,5,22,11,14,35,250000
"2000-05-22 11:09:41.75",78830,100008,22.56,12.99,87,6.7491,114,59.7098,1,9,1.3,1.453,0.112485,0.9951633,5,22,11,14,38,540000
"2000-05-22 11:09:43.5",78831,100009,15.73,12.99,87,6.7497,114,59.6957,1,9,1.2,1.019,0.112495,0.9949284,5,22,11,14,41,770000
"2000-05-22 11:09:44.5",78832,100010,15.28,12.99,87,6.7506,114,59.6974,1,10,1,0.99,0.11251,0.9949567,5,22,11,14,44,900000
"2000-05-22 11:09:45.5",78833,100011,2.94,12.98,87,6.7516,114,59.6901,1,9,0.7,0.208,0.1125267,0.994835,5,22,11,14,48,350000
"2000-05-22 11:09:46.25",78834,100012,3.916,12.98,87,6.7532,114,59.6728,1,9,0.5,0.269,0.1125533,0.9945467,5,22,11,14,52,80000
"2000-05-22 11:09:47",78835,100013,3.342,12.98,87,6.7549,114,59.6623,1,9,0.8,0.233,0.1125817,0.9943717,5,22,11,14,55,950000
"2000-05-22 11:09:47.75",78836,100014,3.457,12.98,87,6.7563,114,59.6432,1,10,0.9,0.24,0.112605,0.9940533,5,22,11,14,59,490000
"2000-05-22 11:09:48.5",78837,100015,3.342,12.98,87,6.7573,114,59.6246,1,10,0.8,0.233,0.1126217,0.9937433,5,22,11,15,2,910000
