"TOA5","35279","CR800","35279","CR800.Std.27.04","CPU:AWI_V2.1_Anja.CR8","15615","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-09 12:23:15.39",11371,101148,31.71,12.39,87,8.8928,114,7.9081,1,12,0.7,2,2.11,0.1482133,0.1318017,1,9,12,23,14,710000
"2020-01-09 12:23:22.86",11372,101149,32.78,12.38,87,8.892201,114,7.8772,1,12,0.7,-0.2,2.18,0.1482033,0.1312867,1,9,12,23,22,180000
"2020-01-09 12:23:27.8",11373,101150,27.84,12.39,87,8.892901,114,7.8911,1,12,0.7,0,1.857,0.148215,0.1315183,1,9,12,23,27,120000
"2020-01-09 12:23:33.36",11374,101151,28.07,12.39,87,8.893601,114,7.9129,1,12,0.7,0,1.872,0.1482267,0.1318817,1,9,12,23,32,680000
"2020-01-09 12:23:37.88",11375,101152,25.93,12.39,87,8.8941,114,7.9324,1,12,0.7,1,1.732,0.148235,0.1322067,1,9,12,23,37,200000
"2020-01-09 12:23:45.49",11376,101153,29.3,12.39,87,8.8945,114,7.9537,1,11,0.8,2.4,1.952,0.1482417,0.1325617,1,9,12,23,44,810000
"2020-01-09 12:25:18.46",11377,101154,26.83,12.38,87,8.896401,114,7.9069,1,11,0.8,8.1,1.791,0.1482733,0.1317817,1,9,12,25,17,780000
"2020-01-09 12:25:21.1",11378,101155,20.88,12.37,87,8.896401,114,7.9075,1,11,0.8,8.1,1.402,0.1482733,0.1317917,1,9,12,25,20,420000
"2020-01-09 12:25:23.36",11379,101156,22.96,12.38,87,8.8966,114,7.9173,1,11,0.8,8.4,1.538,0.1482767,0.131955,1,9,12,25,22,680000
"2020-01-09 12:25:26.2",11380,101157,21.78,12.37,87,8.8972,114,7.9423,1,11,0.8,9.1,1.461,0.1482867,0.1323717,1,9,12,25,25,520000
"2020-01-09 12:25:29.08",11381,101158,24.36,12.38,87,8.8972,114,7.9431,1,11,0.8,9.6,1.629,0.1482867,0.132385,1,9,12,25,28,400000
"2020-01-09 12:25:31.65",11382,101159,22.57,12.37,87,8.8973,114,7.9464,1,11,0.8,10,1.512,0.1482883,0.13244,1,9,12,25,30,970000
"2020-01-09 12:25:34.42",11383,101160,24.81,12.37,87,8.8976,114,7.9517,1,11,0.8,10.7,1.659,0.1482933,0.1325283,1,9,12,25,33,740000
"2020-01-09 12:25:36.92",11384,101161,30.03,12.37,87,8.8979,114,7.9701,1,11,0.8,10.8,2,0.1482983,0.132835,1,9,12,25,36,240000
"2020-01-09 12:25:39.44",11385,101162,27.28,12.38,87,8.898,114,7.9708,1,11,0.8,11.1,1.82,0.1483,0.1328467,1,9,12,25,38,760000
"2020-01-09 12:25:42.15",11386,101163,29.41,12.37,87,8.898,114,7.9787,1,11,0.8,11,1.96,0.1483,0.1329783,1,9,12,25,41,470000
"2020-01-09 12:25:44.69",11387,101164,27.62,12.37,87,8.8984,114,8.0015,1,11,0.8,12.3,1.842,0.1483067,0.1333583,1,9,12,25,44,10000
"2020-01-09 12:25:47.99",11388,101165,28.18,12.37,87,8.8983,114,8.0071,1,11,0.8,11.6,1.879,0.148305,0.1334517,1,9,12,25,47,310000
"2020-01-09 12:25:50.63",11389,101166,26.27,12.37,87,8.898501,114,8.0124,1,11,0.8,11.5,1.754,0.1483083,0.13354,1,9,12,25,49,950000
"2020-01-09 12:25:54.2",11390,101167,28.8,12.37,87,8.8986,114,8.0244,1,11,0.8,11.5,1.919,0.14831,0.13374,1,9,12,25,53,520000
"2020-01-09 12:25:57.19",11391,101168,26.16,12.38,87,8.8988,114,8.0308,1,11,0.8,12.2,1.747,0.1483133,0.1338467,1,9,12,25,56,510000
"2020-01-09 12:26:00.23",11392,101169,10.95,12.38,87,8.899201,114,8.036,1,11,0.8,11.8,0.75,0.14832,0.1339333,1,9,12,25,59,550000
"2020-01-09 12:26:03.26",11393,101170,22.34,12.37,87,8.8994,114,8.0392,1,11,0.8,12.3,1.497,0.1483233,0.1339867,1,9,12,26,2,580000
"2020-01-09 12:26:06.38",11394,101171,28.18,12.37,87,8.8996,114,8.0512,1,11,0.8,11.6,1.879,0.1483267,0.1341867,1,9,12,26,5,700000
"2020-01-09 12:26:09.47",11395,101172,17.74,12.37,87,8.8997,114,8.0613,1,11,0.8,11,1.196,0.1483283,0.134355,1,9,12,26,8,790000
"2020-01-09 12:26:12.87",11396,101173,11.91,12.37,87,8.9004,114,8.0766,1,11,0.8,12,0.82,0.14834,0.13461,1,9,12,26,12,190000
"2020-01-09 12:26:15.69",11397,101174,36.31,12.37,87,8.9007,114,8.0799,1,11,0.8,11.8,2.411,0.148345,0.134665,1,9,12,26,15,10000
"2020-01-09 12:26:18.32",11398,101175,32.89,12.37,87,8.901,114,8.0962,1,11,0.8,11.6,2.187,0.14835,0.1349367,1,9,12,26,17,640000
"2020-01-09 12:26:20.98",11399,101176,21.44,12.37,87,8.9008,114,8.1109,1,11,0.8,11.4,1.439,0.1483467,0.1351817,1,9,12,26,20,300000
"2020-01-09 12:26:23.64",11400,101177,36.93,12.37,87,8.900601,114,8.1332,1,11,0.8,11.4,2.451,0.1483433,0.1355533,1,9,12,26,22,960000
"2020-01-09 12:26:26.1",11401,101178,35.08,12.37,87,8.900601,114,8.1375,1,11,0.8,10.8,2.33,0.1483433,0.135625,1,9,12,26,25,420000
"2020-01-09 12:26:28.93",11402,101179,33.34,12.37,87,8.900601,114,8.1507,1,11,0.8,9.9,2.216,0.1483433,0.135845,1,9,12,26,28,250000
"2020-01-09 12:26:31.46",11403,101180,31.94,12.37,87,8.9007,114,8.1575,1,11,0.8,9,2.125,0.148345,0.1359583,1,9,12,26,30,780000
"2020-01-09 12:26:43.35",11404,101181,33.84,12.37,87,8.9016,114,8.1663,1,11,0.8,8.7,2.25,0.14836,0.136105,1,9,12,26,42,670000
"2020-01-09 12:30:52.09",11405,101182,39.23,12.35,87,8.9083,114,7.9067,1,10,0.8,4,2.602,0.1484717,0.1317783,1,9,12,30,51,410000
"2020-01-09 12:30:57.12",11406,101183,21.22,12.35,87,8.9086,114,7.9193,1,10,0.8,2.5,1.424,0.1484767,0.1319883,1,9,12,30,56,440000
"2020-01-09 12:31:05.69",11407,101184,14.49,12.35,87,8.909099,114,7.9265,1,10,0.8,1.9,0.98,0.148485,0.1321083,1,9,12,31,5,10000
"2020-01-09 12:31:08.59",11408,101185,12.3,12.35,87,8.9092,114,7.9345,1,10,0.8,1.4,0.84,0.1484867,0.1322417,1,9,12,31,7.000,910000
"2020-01-09 12:31:13.23",11409,101186,29.97,12.35,87,8.9096,114,7.9339,1,10,0.8,3,1.996,0.1484933,0.1322317,1,9,12,31,12,550000
"2020-01-09 12:31:21.67",11410,101187,36.48,12.35,87,8.9097,114,7.9406,1,10,0.8,3.6,2.422,0.148495,0.1323433,1,9,12,31,20,990000
"2020-01-09 12:31:24.73",11411,101188,21.56,12.35,87,8.9099,114,7.949,1,10,0.8,4.3,1.446,0.1484983,0.1324833,1,9,12,31,24,50000
"2020-01-09 12:31:27.41",11412,101189,18.47,12.35,87,8.9102,114,7.9564,1,10,0.8,5.7,1.244,0.1485033,0.1326067,1,9,12,31,26,730000
"2020-01-09 12:31:29.98",11413,101190,18.98,12.34,87,8.9101,114,7.9687,1,10,0.8,6,1.277,0.1485017,0.1328117,1,9,12,31,29,300000
"2020-01-09 12:31:32.42",11414,101191,24.7,12.35,87,8.9101,114,7.9834,1,10,0.8,5.9,1.651,0.1485017,0.1330567,1,9,12,31,31,740000
"2020-01-09 12:31:35.1",11415,101192,37.27,12.35,87,8.9101,114,7.9892,1,10,0.8,5.7,2.473,0.1485017,0.1331533,1,9,12,31,34,420000
"2020-01-09 12:31:37.78",11416,101193,34.57,12.35,87,8.9103,114,8.0079,1,10,0.8,5.6,2.297,0.148505,0.133465,1,9,12,31,37,100000
"2020-01-09 12:31:40.5",11417,101194,18.02,12.35,87,8.9104,114,8.0232,1,10,0.8,5.1,1.215,0.1485067,0.13372,1,9,12,31,39,820000
"2020-01-09 12:31:42.94",11418,101195,21.78,12.34,87,8.9106,114,8.0365,1,10,0.8,5.5,1.461,0.14851,0.1339417,1,9,12,31,42,260000
"2020-01-09 12:31:45.43",11419,101196,34.18,12.35,87,8.9108,114,8.0503,1,10,0.8,5.8,2.272,0.1485133,0.1341717,1,9,12,31,44,750000
"2020-01-09 12:31:48.13",11420,101197,42.99,12.35,87,8.9109,114,8.0603,1,10,0.8,6,2.848,0.148515,0.1343383,1,9,12,31,47,450000
"2020-01-09 12:31:50.85",11421,101198,45.24,12.34,87,8.911,114,8.075499,1,10,0.8,5.4,2.994,0.1485167,0.1345917,1,9,12,31,50,170000
"2020-01-09 12:31:53.81",11422,101199,45.35,12.34,87,8.9117,114,8.104299,1,10,0.8,4.3,3.002,0.1485283,0.1350717,1,9,12,31,53,130000
"2020-01-09 12:31:56.86",11423,101200,41.7,12.34,87,8.9123,114,8.1115,1,10,0.8,3.5,2.763,0.1485383,0.1351917,1,9,12,31,56,180000
"2020-01-09 12:31:59.52",11424,101201,26.44,12.34,87,8.913,114,8.1126,1,10,0.8,2.4,1.765,0.14855,0.13521,1,9,12,31,58,840000
"2020-01-09 12:32:01.99",11425,101202,23.13,12.35,87,8.9131,114,8.1159,1,10,0.8,3.1,1.549,0.1485517,0.135265,1,9,12,32,1,310000
"2020-01-09 12:32:04.61",11426,101203,22.79,12.35,87,8.9137,114,8.1361,1,10,0.8,4.1,1.527,0.1485617,0.1356017,1,9,12,32,3,930000
"2020-01-09 12:32:07.6",11427,101204,28.29,12.35,87,8.9137,114,8.1393,1,10,0.8,4.4,1.886,0.1485617,0.135655,1,9,12,32,6,920000
"2020-01-09 12:32:10.08",11428,101205,19.99,12.34,87,8.9138,114,8.1423,1,10,0.8,3.9,1.343,0.1485633,0.135705,1,9,12,32,9,400000
"2020-01-09 12:32:12.49",11429,101206,17.63,12.34,87,8.9141,114,8.1601,1,10,0.8,3.7,1.189,0.1485683,0.1360017,1,9,12,32,11,810000
"2020-01-09 12:32:14.79",11430,101207,18.41,12.34,87,8.9143,114,8.169599,1,10,0.8,3.6,1.24,0.1485717,0.13616,1,9,12,32,14,110000
"2020-01-09 12:32:17.13",11431,101208,21.56,12.34,87,8.9146,114,8.1789,1,10,0.8,3.4,1.446,0.1485767,0.136315,1,9,12,32,16,450000
"2020-01-09 12:32:19.93",11432,101209,33.85,12.34,87,8.9149,114,8.1933,1,10,0.8,3,2.25,0.1485817,0.136555,1,9,12,32,19,250000
"2020-01-09 12:32:22.82",11433,101210,42.54,12.35,87,8.9151,114,8.2035,1,10,0.8,2.9,2.818,0.148585,0.136725,1,9,12,32,22,140000
"2020-01-09 12:32:25.63",11434,101211,46.47,12.34,87,8.9153,114,8.213801,1,10,0.8,2.5,3.075,0.1485883,0.1368967,1,9,12,32,24,950000
"2020-01-09 12:32:28.57",11435,101212,44.67,12.34,87,8.9155,114,8.225,1,10,0.8,3,2.958,0.1485917,0.1370833,1,9,12,32,27,890000
"2020-01-09 12:32:31.46",11436,101213,47.37,12.34,87,8.9157,114,8.2357,1,10,0.8,3.5,3.134,0.148595,0.1372617,1,9,12,32,30,780000
"2020-01-09 12:32:37.25",11437,101214,50.34,12.34,87,8.9162,114,8.268601,1,9,0.8,2.6,3.328,0.1486033,0.13781,1,9,12,32,36,570000
"2020-01-09 12:32:43.88",11438,101215,52.75,12.34,87,8.916799,114,8.2747,1,9,0.8,4.2,3.486,0.1486133,0.1379117,1,9,12,32,43,200000
"2020-01-09 12:32:48.47",11439,101216,60.5,12.34,87,8.9173,114,8.298,1,9,0.8,5.5,3.993,0.1486217,0.1383,1,9,12,32,47,790000
"2020-01-09 12:32:52.53",11440,101217,60.16,12.34,87,8.917499,114,8.3067,1,9,0.8,6.2,3.971,0.148625,0.138445,1,9,12,32,51,850000
"2020-01-09 12:32:57.61",11441,101218,52.08,12.34,87,8.917499,114,8.3212,1,9,0.8,4.3,3.442,0.148625,0.1386867,1,9,12,32,56,930000
"2020-01-09 12:33:02.55",11442,101219,45.35,12.34,87,8.9177,114,8.342399,1,9,0.8,4.8,3.002,0.1486283,0.13904,1,9,12,33,1,870000
"2020-01-09 12:33:06.35",11443,101220,36.59,12.34,87,8.9178,114,8.3474,1,9,0.8,4.6,2.429,0.14863,0.1391233,1,9,12,33,5,670000
"2020-01-09 12:33:09.19",11444,101221,28.18,12.34,87,8.9179,114,8.3484,1,9,0.8,4.9,1.879,0.1486317,0.13914,1,9,12,33,8,510000
"2020-01-09 12:33:11.87",11445,101222,27,12.34,87,8.9179,114,8.358499,1,9,0.8,4.6,1.802,0.1486317,0.1393083,1,9,12,33,11,190000
"2020-01-09 12:33:14.4",11446,101223,35.7,12.34,87,8.9181,114,8.368301,1,9,0.8,4,2.371,0.148635,0.1394717,1,9,12,33,13,720000
"2020-01-09 12:33:17.02",11447,101224,44,12.34,87,8.9181,114,8.376001,1,9,0.8,3.9,2.914,0.148635,0.1396,1,9,12,33,16,340000
"2020-01-09 12:33:19.79",11448,101225,39.51,12.33,87,8.9185,114,8.3885,1,9,0.8,4.1,2.62,0.1486417,0.1398083,1,9,12,33,19,110000
"2020-01-09 12:33:22.95",11449,101226,39.29,12.34,87,8.919599,114,8.4128,1,9,0.8,5.1,2.605,0.14866,0.1402133,1,9,12,33,22,270000
"2020-01-09 12:33:25.67",11450,101227,40.52,12.34,87,8.9197,114,8.4206,1,9,0.8,5.3,2.686,0.1486617,0.1403433,1,9,12,33,24,990000
"2020-01-09 12:33:28.28",11451,101228,38.5,12.34,87,8.9197,114,8.426601,1,9,0.8,4.9,2.554,0.1486617,0.1404433,1,9,12,33,27,600000
"2020-01-09 12:33:32.77",11452,101229,30.65,12.34,87,8.9201,114,8.4655,1,9,0.8,5.2,2.04,0.1486683,0.1410917,1,9,12,33,32,90000
