"TOA5","35279","CR800","35279","CR800.Std.27.04","CPU:AWI_V2.1_Anja.CR8","15615","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-19 11:20:12.62",16215,100005,6.288,13.61,87,23.8699,98,25.1064,1,10,0.8,-1.8,0.45,0.3978316,0.41844,1,19,11,20,11,940000
"2020-01-19 11:20:20.35",16216,100006,10.32,13.58,87,23.8704,98,25.1098,1,10,0.8,-1.2,0.71,0.39784,0.4184967,1,19,11,20,19,670000
"2020-01-19 11:20:23.2",16217,100007,8.92,13.59,87,23.8707,98,25.1151,1,10,0.8,-0.8,0.62,0.397845,0.418585,1,19,11,20,22,520000
"2020-01-19 11:20:25.88",16218,100008,6.737,13.6,87,23.8714,98,25.1242,1,10,0.8,-0.5,0.48,0.3978567,0.4187367,1,19,11,20,25,200000
"2020-01-19 11:20:28.49",16219,100009,6.064,13.59,87,23.8718,98,25.1287,1,10,0.8,-0.2,0.43,0.3978633,0.4188117,1,19,11,20,27,810000
"2020-01-19 11:20:31.56",16220,100010,5.84,13.59,87,23.8729,98,25.1365,1,10,0.8,0,0.42,0.3978816,0.4189416,1,19,11,20,30,880000
"2020-01-19 11:20:34.23",16221,100011,6.737,13.59,87,23.8733,98,25.1375,1,10,0.8,0,0.48,0.3978883,0.4189583,1,19,11,20,33,550000
"2020-01-19 11:20:37.3",16222,100012,6.737,13.58,87,23.874,98,25.1393,1,10,0.8,-0.2,0.48,0.3979,0.4189883,1,19,11,20,36,610000
"2020-01-19 11:20:39.91",16223,100013,6.4,13.58,87,23.8746,98,25.1379,1,10,0.8,-0.5,0.46,0.39791,0.418965,1,19,11,20,39,230000
"2020-01-19 11:20:42.78",16224,100014,6.625,13.58,87,23.8754,98,25.1386,1,10,0.8,-0.8,0.47,0.3979234,0.4189767,1,19,11,20,42,100000
"2020-01-19 11:20:45.74",16225,100015,7.97,13.58,87,23.8761,98,25.144,1,10,0.8,-0.6,0.56,0.397935,0.4190666,1,19,11,20,45,50000
"2020-01-19 11:20:48.6",16226,100016,6.961,13.58,87,23.8767,98,25.1513,1,10,0.8,-0.3,0.49,0.397945,0.4191884,1,19,11,20,47,920000
"2020-01-19 11:20:51.59",16227,100017,7.073,13.58,87,23.8773,98,25.1551,1,10,0.8,-0.1,0.50,0.397955,0.4192516,1,19,11,20,50,910000
"2020-01-19 11:20:54.65",16228,100018,6.008,13.57,87,23.878,98,25.1578,1,10,0.8,-0.1,0.43,0.3979667,0.4192967,1,19,11,20,53,970000
"2020-01-19 11:20:57.62",16229,100019,6.288,13.56,87,23.8788,98,25.1585,1,10,0.8,-0.4,0.45,0.39798,0.4193083,1,19,11,20,56,940000
"2020-01-19 11:21:00.4",16230,100020,6.737,13.56,87,23.8792,98,25.161,1,10,0.8,-0.3,0.48,0.3979867,0.41935,1,19,11,20,59,720000
"2020-01-19 11:21:03.22",16231,100021,6.737,13.56,87,23.8799,98,25.1659,1,10,0.8,0,0.48,0.3979983,0.4194316,1,19,11,21,2,540000
"2020-01-19 11:21:06.1",16232,100022,7.858,13.56,87,23.8806,98,25.1683,1,10,0.8,0,0.55,0.39801,0.4194717,1,19,11,21,5,420000
"2020-01-19 11:21:09.11",16233,100023,6.849,13.56,87,23.8813,98,25.1678,1,10,0.8,-0.1,0.48,0.3980217,0.4194633,1,19,11,21,8,430000
"2020-01-19 11:21:12.3",16234,100024,4.046,13.55,87,23.8819,98,25.1718,1,10,0.8,0,0.30,0.3980317,0.41953,1,19,11,21,11,620000
"2020-01-19 11:21:15.68",16235,100025,4.943,13.55,87,23.8828,98,25.1735,1,10,0.8,-0.1,0.36,0.3980466,0.4195584,1,19,11,21,15,0
"2020-01-19 11:21:20.92",16236,100026,4.943,13.55,87,23.8832,98,25.172,1,10,0.8,0,0.36,0.3980533,0.4195334,1,19,11,21,20,240000
"2020-01-19 11:21:23.8",16237,100027,5.167,13.55,87,23.884,98,25.1742,1,10,0.8,-0.1,0.37,0.3980667,0.41957,1,19,11,21,23,120000
"2020-01-19 11:21:26.67",16238,100028,4.607,13.55,87,23.8848,98,25.1777,1,10,0.8,-0.1,0.34,0.39808,0.4196283,1,19,11,21,25,990000
"2020-01-19 11:21:29.59",16239,100029,3.934,13.54,87,23.8855,98,25.1812,1,10,0.8,0,0.29,0.3980917,0.4196867,1,19,11,21,28,910000
"2020-01-19 11:21:32.56",16240,100030,4.719,13.55,87,23.8862,98,25.1844,1,10,0.8,-0.1,0.35,0.3981033,0.41974,1,19,11,21,31,870000
"2020-01-19 11:21:35.47",16241,100031,6.288,13.53,87,23.8866,98,25.1867,1,10,0.8,0,0.45,0.39811,0.4197784,1,19,11,21,34,790000
"2020-01-19 11:21:38.63",16242,100032,13.63,13.53,87,23.8876,98,25.1901,1,10,0.8,-0.1,0.93,0.3981267,0.419835,1,19,11,21,37,950000
"2020-01-19 11:21:42.11",16243,100033,26.63,13.53,87,23.8883,98,25.1951,1,10,0.8,0,1.778,0.3981384,0.4199184,1,19,11,21,41,430000
"2020-01-19 11:21:46.01",16244,100034,21.53,13.53,87,23.889,98,25.1973,1,10,0.8,0,1.444,0.39815,0.419955,1,19,11,21,45,330000
"2020-01-19 11:21:49.93",16245,100035,11.11,13.54,87,23.8901,98,25.2008,1,10,0.8,-0.2,0.76,0.3981684,0.4200133,1,19,11,21,49,250000
"2020-01-19 11:21:53.31",16246,100036,6.064,13.53,87,23.8908,98,25.2033,1,10,0.8,-0.3,0.43,0.39818,0.420055,1,19,11,21,52,630000
"2020-01-19 11:21:56.61",16247,100037,10.77,13.53,87,23.8917,98,25.2049,1,10,0.8,-0.3,0.74,0.398195,0.4200817,1,19,11,21,55,930000
"2020-01-19 11:22:00.89",16248,100038,24.11,13.52,87,23.8926,98,25.2091,1,10,0.8,-0.4,1.613,0.39821,0.4201517,1,19,11,22,0,210000
"2020-01-19 11:22:04.25",16249,100039,29.44,13.52,87,23.8933,98,25.2104,1,10,0.8,-0.4,1.961,0.3982216,0.4201733,1,19,11,22,3,570000
"2020-01-19 11:22:07.78",16250,100040,5.84,13.53,87,23.8942,98,25.2132,1,10,0.8,-0.3,0.42,0.3982367,0.42022,1,19,11,22,7.000,100000
"2020-01-19 11:22:11.71",16251,100041,39.81,13.52,87,23.895,98,25.2168,1,10,0.8,-0.2,2.639,0.39825,0.42028,1,19,11,22,11,30000
"2020-01-19 11:22:15.15",16252,100042,41.04,13.52,87,23.8956,98,25.2185,1,10,0.8,-0.3,2.72,0.39826,0.4203083,1,19,11,22,14,470000
"2020-01-19 11:22:20.23",16253,100043,24.56,13.52,87,23.8966,98,25.2213,1,10,0.8,-0.4,1.642,0.3982767,0.420355,1,19,11,22,19,550000
"2020-01-19 11:22:24.18",16254,100044,17.83,13.52,87,23.8973,98,25.2243,1,10,0.8,-0.6,1.202,0.3982883,0.420405,1,19,11,22,23,500000
"2020-01-19 11:22:27.96",16255,100045,10.44,13.52,87,23.8984,98,25.2251,1,10,0.8,-0.7,0.72,0.3983067,0.4204183,1,19,11,22,27,280000
"2020-01-19 11:22:30.98",16256,100046,8.31,13.51,87,23.899,98,25.2268,1,10,0.8,-0.7,0.58,0.3983167,0.4204467,1,19,11,22,30,300000
"2020-01-19 11:22:35.3",16257,100047,5.952,13.51,87,23.9,98,25.2277,1,10,0.8,-0.7,0.43,0.3983334,0.4204616,1,19,11,22,34,620000
"2020-01-19 11:22:38.84",16258,100048,6.288,13.51,87,23.9008,98,25.2279,1,10,0.8,-0.7,0.45,0.3983467,0.420465,1,19,11,22,38,160000
"2020-01-19 11:22:42.08",16259,100049,4.607,13.51,87,23.9015,98,25.2294,1,10,0.8,-0.6,0.34,0.3983584,0.42049,1,19,11,22,41,400000
"2020-01-19 11:22:45.16",16260,100050,4.943,13.51,87,23.9023,98,25.2309,1,10,0.8,-0.5,0.36,0.3983717,0.420515,1,19,11,22,44,480000
"2020-01-19 11:22:48.33",16261,100051,4.943,13.51,87,23.903,98,25.2322,1,10,0.8,-0.6,0.36,0.3983833,0.4205367,1,19,11,22,47,650000
"2020-01-19 11:22:51.38",16262,100052,5.504,13.51,87,23.9037,98,25.2333,1,10,0.8,-0.6,0.40,0.398395,0.420555,1,19,11,22,50,700000
"2020-01-19 11:22:54.4",16263,100053,8.64,13.5,87,23.9045,98,25.2355,1,10,0.8,-0.7,0.60,0.3984083,0.4205917,1,19,11,22,53,720000
"2020-01-19 11:22:57.32",16264,100054,11.22,13.51,87,23.9052,98,25.2373,1,10,0.8,-0.7,0.77,0.39842,0.4206217,1,19,11,22,56,640000
"2020-01-19 11:23:00.81",16265,100055,9.71,13.5,87,23.9063,98,25.2394,1,10,0.8,-0.6,0.67,0.3984383,0.4206567,1,19,11,23,0,130000
"2020-01-19 11:23:04.63",16266,100056,11.89,13.5,87,23.907,98,25.2412,1,10,0.8,-0.7,0.81,0.39845,0.4206867,1,19,11,23,3,950000
"2020-01-19 11:23:07.77",16267,100057,13.57,13.5,87,23.9078,98,25.2426,1,10,0.8,-0.7,0.92,0.3984633,0.42071,1,19,11,23,7.000,90000
"2020-01-19 11:23:10.98",16268,100058,17.78,13.5,87,23.9085,98,25.2447,1,10,0.8,-0.8,1.199,0.398475,0.420745,1,19,11,23,10,300000
"2020-01-19 11:23:14.17",16269,100059,18.4,13.49,87,23.9092,98,25.2461,1,10,0.8,-0.8,1.239,0.3984867,0.4207683,1,19,11,23,13,490000
"2020-01-19 11:23:17.36",16270,100060,17.95,13.49,87,23.9099,98,25.248,1,10,0.8,-0.9,1.21,0.3984984,0.4208,1,19,11,23,16,680000
"2020-01-19 11:23:20.81",16271,100061,24.79,13.49,87,23.9112,98,25.2493,1,10,0.8,-1,1.657,0.39852,0.4208217,1,19,11,23,20,130000
"2020-01-19 11:23:24.31",16272,100062,21.53,13.49,87,23.9118,98,25.2479,1,10,0.8,-0.8,1.444,0.39853,0.4207983,1,19,11,23,23,620000
"2020-01-19 11:23:28.36",16273,100063,37,13.5,87,23.9128,98,25.2525,1,10,0.8,-0.8,2.456,0.3985467,0.420875,1,19,11,23,27,680000
"2020-01-19 11:23:32.82",16274,100064,22.66,13.49,87,23.914,98,25.2594,1,11,0.7,-0.9,1.518,0.3985667,0.42099,1,19,11,23,32,140000
"2020-01-19 11:23:36.42",16275,100065,18.51,13.48,87,23.9147,98,25.2677,1,11,0.7,-0.9,1.246,0.3985783,0.4211283,1,19,11,23,35,740000
"2020-01-19 11:23:41.86",16276,100066,20.41,13.49,87,23.9161,98,25.2781,1,11,0.7,-0.9,1.371,0.3986016,0.4213017,1,19,11,23,41,180000
"2020-01-19 11:23:45.53",16277,100067,10.83,13.49,87,23.9167,98,25.2813,1,11,0.7,-0.7,0.74,0.3986117,0.421355,1,19,11,23,44,850000
"2020-01-19 11:23:49.01",16278,100068,12.01,13.48,87,23.9175,98,25.2914,1,11,0.7,-0.8,0.82,0.398625,0.4215234,1,19,11,23,48,330000
"2020-01-19 11:23:52.89",16279,100069,10.44,13.48,87,23.9183,98,25.2995,1,12,0.7,-0.7,0.72,0.3986383,0.4216583,1,19,11,23,52,210000
"2020-01-19 11:23:56.79",16280,100070,13.35,13.49,87,23.9191,98,25.3068,1,12,0.7,-0.6,0.91,0.3986516,0.42178,1,19,11,23,56,110000
"2020-01-19 11:24:00.13",16281,100071,10.72,13.48,87,23.9197,98,25.3151,1,12,0.7,-0.5,0.74,0.3986617,0.4219183,1,19,11,23,59,450000
"2020-01-19 11:24:02.98",16282,100072,9.65,13.48,87,23.9204,98,25.3211,1,12,0.7,-0.5,0.67,0.3986734,0.4220184,1,19,11,24,2,300000
"2020-01-19 11:24:06.1",16283,100073,9.76,13.48,87,23.921,98,25.3278,1,12,0.7,-0.5,0.68,0.3986833,0.42213,1,19,11,24,5,420000
"2020-01-19 11:24:09.24",16284,100074,14.92,13.48,87,23.9217,98,25.3355,1,12,0.7,-0.5,1.012,0.398695,0.4222584,1,19,11,24,8,560000
"2020-01-19 11:24:12.61",16285,100075,11.56,13.47,87,23.9225,98,25.3409,1,12,0.7,-0.4,0.79,0.3987084,0.4223484,1,19,11,24,11,930000
"2020-01-19 11:24:15.79",16286,100076,13.01,13.47,87,23.9232,98,25.3441,1,12,0.7,-0.5,0.89,0.39872,0.4224017,1,19,11,24,15,110000
"2020-01-19 11:24:19.13",16287,100077,13.91,13.47,87,23.9239,98,25.3484,1,12,0.7,-0.5,0.95,0.3987317,0.4224734,1,19,11,24,18,450000
"2020-01-19 11:24:22.87",16288,100078,11,13.47,87,23.9248,98,25.3576,1,12,0.7,-0.5,0.76,0.3987467,0.4226266,1,19,11,24,22,180000
"2020-01-19 11:24:26.04",16289,100079,13.13,13.46,87,23.9254,98,25.3621,1,12,0.7,-0.3,0.89,0.3987566,0.4227017,1,19,11,24,25,360000
"2020-01-19 11:24:29.45",16290,100080,20.19,13.48,87,23.9261,98,25.3639,1,12,0.7,-0.1,1.356,0.3987683,0.4227317,1,19,11,24,28,770000
"2020-01-19 11:24:33.56",16291,100081,25.46,13.47,87,23.927,98,25.3675,1,12,0.7,-0.1,1.701,0.3987833,0.4227916,1,19,11,24,32,870000
"2020-01-19 11:24:37.32",16292,100082,14.25,13.47,87,23.9278,98,25.3722,1,12,0.7,-0.4,0.97,0.3987966,0.42287,1,19,11,24,36,640000
"2020-01-19 11:24:43.52",16293,100083,10.88,13.47,87,23.9282,98,25.3737,1,12,0.7,-0.6,0.75,0.3988033,0.422895,1,19,11,24,42,840000
"2020-01-19 11:24:45.67",16294,100084,8.14,13.46,87,23.9288,98,25.3794,1,12,0.7,-0.8,0.57,0.3988133,0.42299,1,19,11,24,44,990000
"2020-01-19 11:24:47.73",16295,100085,6.961,13.46,87,23.9294,98,25.3856,1,12,0.7,-1,0.49,0.3988233,0.4230933,1,19,11,24,47,50000
