"TOA5","35279","CR800","35279","CR800.Std.27.04","CPU:AWI_V2.1_Anja.CR8","15615","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-02-06 10:43:10.45",21688,100004,20.52,12.89,87,36.2966,94,1.89,1,9,0.9,-15.3,1.378,0.6049433,0.0315,2,6,10,43,9,770000
"2020-02-06 10:44:03.24",21689,100005,13.8,12.88,87,36.2978,94,1.863,1,10,0.8,-13.4,0.94,0.6049633,0.03105,2,6,10,44,2,560000
"2020-02-06 10:44:09.16",21690,100006,13.24,12.88,87,36.2975,94,1.859,1,10,0.8,-13.1,0.90,0.6049584,0.03098333,2,6,10,44,8,480000
"2020-02-06 10:44:13.46",21691,100007,12.45,12.88,87,36.2973,94,1.8474,1,10,0.8,-12.8,0.85,0.604955,0.03079,2,6,10,44,12,780000
"2020-02-06 10:44:16.06",21692,100008,12.96,12.88,87,36.2972,94,1.8402,1,10,0.8,-12.7,0.88,0.6049534,0.03067,2,6,10,44,15,380000
"2020-02-06 10:44:18.42",21693,100009,12.9,12.88,87,36.297,94,1.833,1,10,0.8,-12.6,0.88,0.60495,0.03055,2,6,10,44,17,740000
"2020-02-06 10:44:21.07",21694,100010,13.91,12.88,87,36.2964,94,1.8195,1,10,0.8,-12.4,0.95,0.60494,0.030325,2,6,10,44,20,390000
"2020-02-06 10:44:23.52",21695,100011,12.56,12.87,87,36.2961,94,1.8128,1,10,0.8,-12.4,0.86,0.604935,0.03021333,2,6,10,44,22,840000
"2020-02-06 10:44:25.97",21696,100012,11.33,12.88,87,36.2956,94,1.7987,1,10,0.8,-12.5,0.78,0.6049267,0.02997833,2,6,10,44,25,290000
"2020-02-06 10:44:27.99",21697,100013,12,12.88,87,36.2953,94,1.7906,1,10,0.8,-12.4,0.82,0.6049216,0.02984333,2,6,10,44,27,310000
"2020-02-06 10:44:29.9",21698,100014,13.46,12.87,87,36.295,94,1.7817,1,10,0.8,-12.4,0.92,0.6049166,0.029695,2,6,10,44,29,220000
"2020-02-06 10:44:31.86",21699,100015,14.81,12.88,87,36.2946,94,1.7713,1,10,0.8,-12.4,1.004,0.60491,0.02952167,2,6,10,44,31,180000
"2020-02-06 10:44:33.97",21700,100016,19.79,12.88,87,36.2941,94,1.7571,1,10,0.8,-12.2,1.331,0.6049017,0.029285,2,6,10,44,33,290000
"2020-02-06 10:44:36.06",21701,100017,21.08,12.88,87,36.2937,94,1.7411,1,10,0.8,-12.3,1.415,0.604895,0.02901833,2,6,10,44,35,380000
"2020-02-06 10:44:38.38",21702,100018,25.4,12.87,87,36.2935,94,1.7329,1,10,0.8,-12.2,1.697,0.6048916,0.02888167,2,6,10,44,37,700000
"2020-02-06 10:44:40.5",21703,100019,24.45,12.87,87,36.2936,94,1.7316,1,10,0.8,-12.2,1.635,0.6048933,0.02886,2,6,10,44,39,820000
"2020-02-06 10:44:42.77",21704,100020,24.95,12.87,87,36.2933,94,1.7172,1,10,0.8,-11.9,1.668,0.6048883,0.02862,2,6,10,44,42,90000
"2020-02-06 10:44:45.05",21705,100021,28.7,12.87,87,36.293,94,1.7085,1,10,0.8,-11.7,1.913,0.6048833,0.028475,2,6,10,44,44,370000
"2020-02-06 10:44:47.26",21706,100022,32.74,12.87,87,36.2926,94,1.6991,1,10,0.8,-11.7,2.177,0.6048766,0.02831833,2,6,10,44,46,580000
"2020-02-06 10:44:49.55",21707,100023,31.51,12.87,87,36.2924,94,1.6917,1,10,0.8,-11.5,2.097,0.6048734,0.028195,2,6,10,44,48,870000
"2020-02-06 10:44:51.78",21708,100024,33.41,12.87,87,36.2919,94,1.6851,1,10,0.8,-11.2,2.221,0.604865,0.028085,2,6,10,44,51,100000
"2020-02-06 10:44:54.14",21709,100025,33.13,12.87,87,36.2916,94,1.6797,1,10,0.8,-11,2.203,0.60486,0.027995,2,6,10,44,53,460000
"2020-02-06 10:44:56.48",21710,100026,35.54,12.87,87,36.2913,94,1.6691,1,10,0.8,-11,2.361,0.604855,0.02781833,2,6,10,44,55,800000
"2020-02-06 10:44:58.54",21711,100027,33.97,12.87,87,36.291,94,1.6569,1,10,0.8,-10.9,2.258,0.60485,0.027615,2,6,10,44,57,860000
"2020-02-06 10:45:00.47",21712,100028,32.52,12.87,87,36.2906,94,1.647,1,10,0.8,-10.9,2.163,0.6048433,0.02745,2,6,10,44,59,790000
"2020-02-06 10:45:18.22",21713,100029,31.45,12.87,87,36.2903,94,1.6134,1,10,0.8,-10.9,2.093,0.6048383,0.02689,2,6,10,45,17,540000
"2020-02-06 10:45:20.73",21714,100030,28.15,12.86,87,36.29,94,1.5992,1,10,0.8,-10.8,1.877,0.6048334,0.02665333,2,6,10,45,20,50000
"2020-02-06 10:45:22.94",21715,100031,29.04,12.86,87,36.2895,94,1.5836,1,10,0.8,-10.6,1.935,0.604825,0.02639333,2,6,10,45,22,260000
"2020-02-06 10:45:25.11",21716,100032,30.39,12.87,87,36.2893,94,1.5707,1,10,0.8,-10.6,2.023,0.6048216,0.02617833,2,6,10,45,24,430000
"2020-02-06 10:45:27.44",21717,100033,32.52,12.86,87,36.2891,94,1.562,1,10,0.8,-10.7,2.163,0.6048184,0.02603333,2,6,10,45,26,760000
"2020-02-06 10:45:29.63",21718,100034,32.52,12.87,87,36.2889,94,1.5548,1,10,0.8,-10.7,2.163,0.604815,0.02591333,2,6,10,45,28,940000
"2020-02-06 10:45:32.01",21719,100035,43.39,12.86,87,36.2886,94,1.5412,1,10,0.8,-10.8,2.874,0.60481,0.02568667,2,6,10,45,31,330000
"2020-02-06 10:45:34.57",21720,100036,30.5,12.86,87,36.2884,94,1.5337,1,10,0.8,-10.7,2.031,0.6048067,0.02556167,2,6,10,45,33,890000
"2020-02-06 10:45:36.84",21721,100037,28.82,12.87,87,36.2881,94,1.5209,1,10,0.8,-10.8,1.921,0.6048017,0.02534833,2,6,10,45,36,160000
"2020-02-06 10:45:38.99",21722,100038,25.12,12.87,87,36.2878,94,1.5122,1,10,0.8,-10.8,1.679,0.6047966,0.02520333,2,6,10,45,38,310000
"2020-02-06 10:45:41.02",21723,100039,20.75,12.86,87,36.2875,94,1.5026,1,10,0.8,-10.9,1.393,0.6047916,0.02504333,2,6,10,45,40,340000
"2020-02-06 10:45:43.12",21724,100040,16.66,12.86,87,36.2872,94,1.4928,1,10,0.8,-11,1.125,0.6047867,0.02488,2,6,10,45,42,440000
"2020-02-06 10:45:45.13",21725,100041,15.93,12.86,87,36.2869,94,1.4836,1,10,0.8,-11,1.078,0.6047817,0.02472667,2,6,10,45,44,450000
"2020-02-06 10:45:47.06",21726,100042,18.79,12.86,87,36.2866,94,1.4761,1,10,0.8,-10.9,1.265,0.6047766,0.02460167,2,6,10,45,46,380000
"2020-02-06 10:45:48.95",21727,100043,18.62,12.86,87,36.2862,94,1.4668,1,10,0.8,-10.9,1.254,0.60477,0.02444667,2,6,10,45,48,270000
"2020-02-06 10:45:50.89",21728,100044,21.92,12.86,87,36.2859,94,1.4545,1,10,0.8,-10.9,1.47,0.604765,0.02424167,2,6,10,45,50,210000
"2020-02-06 10:45:52.97",21729,100045,22.99,12.86,87,36.2856,94,1.4439,1,10,0.8,-10.9,1.54,0.60476,0.024065,2,6,10,45,52,290000
"2020-02-06 10:45:54.97",21730,100046,24.33,12.86,87,36.2852,94,1.4332,1,10,0.8,-10.8,1.628,0.6047533,0.02388667,2,6,10,45,54,290000
"2020-02-06 10:45:56.95",21731,100047,26.24,12.86,87,36.2849,94,1.4242,1,10,0.8,-10.8,1.752,0.6047484,0.02373667,2,6,10,45,56,270000
"2020-02-06 10:45:58.99",21732,100048,22.54,12.86,87,36.2845,94,1.4148,1,10,0.8,-10.7,1.51,0.6047417,0.02358,2,6,10,45,58,310000
"2020-02-06 10:46:00.92",21733,100049,20.02,12.86,87,36.2842,94,1.4044,1,10,0.8,-10.7,1.345,0.6047366,0.02340667,2,6,10,46,0,240000
"2020-02-06 10:46:02.82",21734,100050,24.33,12.86,87,36.2839,94,1.392,1,10,0.8,-10.7,1.628,0.6047317,0.0232,2,6,10,46,2,140000
"2020-02-06 10:46:04.75",21735,100051,17.44,12.86,87,36.2835,94,1.3805,1,10,0.8,-10.6,1.177,0.604725,0.02300833,2,6,10,46,4,70000
"2020-02-06 10:46:06.77",21736,100052,33.3,12.86,87,36.2831,94,1.3675,1,10,0.8,-10.7,2.214,0.6047183,0.02279167,2,6,10,46,6,90000
"2020-02-06 10:46:09.31",21737,100053,47.48,12.86,87,36.2829,94,1.3609,1,10,0.8,-10.5,3.141,0.604715,0.02268167,2,6,10,46,8,630000
"2020-02-06 10:46:12.11",21738,100054,10.88,12.85,87,36.2825,94,1.3513,1,10,0.8,-10.4,0.75,0.6047084,0.02252167,2,6,10,46,11,430000
"2020-02-06 10:46:14.62",21739,100055,8.87,12.86,87,36.2825,94,1.3471,1,10,0.8,-10.4,0.62,0.6047084,0.02245167,2,6,10,46,13,940000
"2020-02-06 10:46:16.56",21740,100056,39.58,12.85,87,36.2822,94,1.3386,1,10,0.8,-10.4,2.625,0.6047033,0.02231,2,6,10,46,15,880000
"2020-02-06 10:46:18.65",21741,100057,27.92,12.86,87,36.2818,94,1.3232,1,10,0.8,-10.4,1.862,0.6046966,0.02205333,2,6,10,46,17,970000
"2020-02-06 10:46:20.58",21742,100058,26.02,12.85,87,36.2817,94,1.3194,1,10,0.8,-10.4,1.738,0.604695,0.02199,2,6,10,46,19,900000
"2020-02-06 10:46:22.52",21743,100059,26.35,12.85,87,36.2813,94,1.3086,1,10,0.8,-10.4,1.76,0.6046884,0.02181,2,6,10,46,21,840000
"2020-02-06 10:46:24.59",21744,100060,28.99,12.86,87,36.2809,94,1.2973,1,10,0.8,-10.1,1.932,0.6046817,0.02162167,2,6,10,46,23,910000
"2020-02-06 10:46:26.63",21745,100061,31.96,12.85,87,36.2805,94,1.291,1,10,0.8,-9.8,2.126,0.604675,0.02151667,2,6,10,46,25,940000
"2020-02-06 10:46:28.62",21746,100062,28.71,12.85,87,36.2802,94,1.2811,1,10,0.8,-9.9,1.913,0.60467,0.02135167,2,6,10,46,27,930000
"2020-02-06 10:46:30.59",21747,100063,27.14,12.85,87,36.2798,94,1.2708,1,10,0.8,-10,1.811,0.6046633,0.02118,2,6,10,46,29,910000
"2020-02-06 10:46:32.62",21748,100064,18.67,12.85,87,36.2795,94,1.2608,1,10,0.8,-10.1,1.257,0.6046583,0.02101333,2,6,10,46,31,940000
"2020-02-06 10:46:34.72",21749,100065,17.11,12.85,87,36.279,94,1.2467,1,10,0.8,-10.2,1.155,0.60465,0.02077833,2,6,10,46,34,40000
"2020-02-06 10:46:36.62",21750,100066,19.52,12.84,87,36.2788,94,1.2425,1,10,0.8,-10.2,1.312,0.6046467,0.02070833,2,6,10,46,35,940000
"2020-02-06 10:46:38.66",21751,100067,18.34,12.86,87,36.2786,94,1.2316,1,10,0.8,-10.3,1.235,0.6046433,0.02052667,2,6,10,46,37,970000
"2020-02-06 10:46:40.7",21752,100068,19.96,12.85,87,36.2781,94,1.2163,1,10,0.8,-10.5,1.342,0.604635,0.02027167,2,6,10,46,40,20000
"2020-02-06 10:46:42.77",21753,100069,18.23,12.85,87,36.2776,94,1.2014,1,10,0.8,-10.5,1.228,0.6046266,0.02002333,2,6,10,46,42,90000
"2020-02-06 10:46:45.82",21754,100070,31.96,12.85,87,36.277,94,1.1796,1,10,0.8,-10.2,2.126,0.6046167,0.01966,2,6,10,46,45,140000
"2020-02-06 10:46:48.55",21755,100071,15.03,12.85,87,36.277,94,1.1788,1,10,0.8,-10.2,1.019,0.6046167,0.01964667,2,6,10,46,47,870000
"2020-02-06 10:46:50.59",21756,100072,23.66,12.84,87,36.2767,94,1.1733,1,10,0.8,-10,1.584,0.6046116,0.019555,2,6,10,46,49,910000
"2020-02-06 10:46:52.68",21757,100073,20.24,12.84,87,36.2763,94,1.164,1,10,0.8,-10.2,1.36,0.604605,0.0194,2,6,10,46,52,0
"2020-02-06 10:46:54.78",21758,100074,18.17,12.84,87,36.276,94,1.1566,1,10,0.8,-10.2,1.224,0.6046,0.01927667,2,6,10,46,54,100000
"2020-02-06 10:46:56.89",21759,100075,27.36,12.84,87,36.2757,94,1.1492,1,10,0.8,-10.1,1.826,0.604595,0.01915333,2,6,10,46,56,210000
"2020-02-06 10:46:58.87",21760,100076,29.04,12.84,87,36.2754,94,1.1407,1,10,0.8,-10.2,1.936,0.60459,0.01901167,2,6,10,46,58,190000
"2020-02-06 10:47:00.97",21761,100077,30.39,12.84,87,36.2751,94,1.1324,1,10,0.8,-10.2,2.023,0.604585,0.01887333,2,6,10,47,0,290000
"2020-02-06 10:47:03.16",21762,100078,30.73,12.84,87,36.2748,94,1.1233,1,10,0.8,-10.1,2.045,0.60458,0.01872167,2,6,10,47,2,480000
"2020-02-06 10:47:12.98",21763,100079,36.89,12.84,87,36.2743,94,1.1111,1,10,0.8,-10.1,2.449,0.6045716,0.01851833,2,6,10,47,12,300000
"2020-02-06 10:47:15.03",21764,100080,38.57,12.84,87,36.2742,94,1.1045,1,10,0.8,-10,2.559,0.60457,0.01840833,2,6,10,47,14,350000
"2020-02-06 10:47:17.04",21765,100081,40.25,12.84,87,36.2738,94,1.0975,1,10,0.8,-10,2.669,0.6045634,0.01829167,2,6,10,47,16,360000
"2020-02-06 10:47:19.01",21766,100082,44.18,12.84,87,36.2734,94,1.0905,1,10,0.8,-9.9,2.925,0.6045567,0.018175,2,6,10,47,18,330000
"2020-02-06 10:47:20.97",21767,100083,38.74,12.84,87,36.273,94,1.0826,1,10,0.8,-10,2.57,0.60455,0.01804333,2,6,10,47,20,290000
"2020-02-06 10:47:23.05",21768,100084,38.46,12.84,87,36.2726,94,1.0754,1,10,0.8,-10,2.551,0.6045433,0.01792333,2,6,10,47,22,370000
