"TOA5","35279","CR800","35279","CR800.Std.27.04","CPU:AWI_V2.1_Anja.CR8","15615","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-02-26 10:51:44.5",28910,100004,15.83,13.57,88,29.8088,40,33.137,1,12,0.7,5.3,1.071,0.4968133,0.5522834,2,26,10,51,43,820000
"2020-02-26 10:51:48.01",28911,100005,34.05,13.57,88,29.809,40,33.1422,1,12,0.7,5.2,2.263,0.4968167,0.55237,2,26,10,51,47,330000
"2020-02-26 10:51:51.9",28912,100006,52.16,13.56,88,29.8093,40,33.1504,1,12,0.7,5.1,3.448,0.4968217,0.5525066,2,26,10,51,51,220000
"2020-02-26 10:51:56.99",28913,100007,31.19,13.56,88,29.8097,40,33.1609,1,12,0.7,4.9,2.076,0.4968284,0.5526817,2,26,10,51,56,310000
"2020-02-26 10:52:01",28914,100008,62.15,13.56,88,29.8101,40,33.1623,1,12,0.7,5,4.101,0.496835,0.552705,2,26,10,52,0,320000
"2020-02-26 10:52:05.39",28915,100009,44.2,13.56,88,29.8105,40,33.1751,1,12,0.7,5.3,2.927,0.4968416,0.5529183,2,26,10,52,4,710000
"2020-02-26 10:52:08.91",28916,100010,52.28,13.56,88,29.8107,40,33.1857,1,12,0.7,5.3,3.455,0.496845,0.553095,2,26,10,52,8,230000
"2020-02-26 10:52:14.46",28917,100011,50.43,13.56,88,29.8109,40,33.1945,1,12,0.7,5.2,3.334,0.4968483,0.5532417,2,26,10,52,13,780000
"2020-02-26 10:52:19.41",28918,100012,45.83,13.56,88,29.8108,40,33.1909,1,12,0.7,4.9,3.033,0.4968467,0.5531816,2,26,10,52,18,730000
"2020-02-26 10:52:23.39",28919,100013,44.2,13.56,88,29.8112,40,33.1967,1,12,0.7,4.6,2.927,0.4968533,0.5532783,2,26,10,52,22,710000
"2020-02-26 10:52:27.63",28920,100014,26.93,13.56,88,29.8115,40,33.1978,1,12,0.7,4.3,1.797,0.4968583,0.5532967,2,26,10,52,26,950000
"2020-02-26 10:52:31.31",28921,100015,29.85,13.56,88,29.8117,40,33.1996,1,12,0.7,4,1.988,0.4968617,0.5533267,2,26,10,52,30,630000
"2020-02-26 10:52:34.66",28922,100016,22.89,13.55,88,29.812,40,33.207,1,12,0.7,3.6,1.533,0.4968667,0.55345,2,26,10,52,33,980000
"2020-02-26 10:52:38.01",28923,100017,27.27,13.55,88,29.8122,40,33.2141,1,12,0.7,3.5,1.819,0.49687,0.5535683,2,26,10,52,37,330000
"2020-02-26 10:52:41.81",28924,100018,17.96,13.55,88,29.8124,40,33.2172,1,12,0.7,3,1.21,0.4968734,0.55362,2,26,10,52,41,130000
"2020-02-26 10:52:44.95",28925,100019,13.92,13.55,88,29.8125,40,33.2204,1,12,0.7,2.8,0.95,0.496875,0.5536734,2,26,10,52,44,270000
"2020-02-26 10:52:49.05",28926,100020,15.94,13.55,88,29.8128,40,33.2249,1,12,0.7,2.4,1.078,0.49688,0.5537483,2,26,10,52,48,370000
"2020-02-26 10:52:52.5",28927,100021,19.3,13.55,88,29.8132,40,33.2261,1,12,0.7,2,1.298,0.4968867,0.5537683,2,26,10,52,51,820000
"2020-02-26 10:52:55.87",28928,100022,17.62,13.55,88,29.8135,40,33.2291,1,12,0.7,1.7,1.188,0.4968916,0.5538184,2,26,10,52,55,190000
"2020-02-26 10:52:58.79",28929,100023,11.84,13.55,88,29.8139,40,33.235,1,12,0.7,1.3,0.81,0.4968983,0.5539167,2,26,10,52,58,110000
"2020-02-26 10:53:02.41",28930,100024,7.750,13.55,88,29.8141,40,33.244,1,12,0.7,0.8,0.54,0.4969017,0.5540666,2,26,10,53,1,730000
"2020-02-26 10:53:06.72",28931,100025,6.292,13.55,88,29.8145,40,33.2463,1,12,0.7,0.5,0.45,0.4969083,0.554105,2,26,10,53,6,40000
"2020-02-26 10:53:09.95",28932,100026,8.48,13.55,88,29.8148,40,33.2492,1,12,0.7,0.1,0.59,0.4969134,0.5541533,2,26,10,53,9,270000
"2020-02-26 10:53:12.62",28933,100027,7.582,13.54,88,29.8151,40,33.2541,1,12,0.7,-0.2,0.53,0.4969183,0.554235,2,26,10,53,11,940000
"2020-02-26 10:53:15.57",28934,100028,7.638,13.55,88,29.8155,40,33.2588,1,12,0.7,-0.4,0.54,0.496925,0.5543134,2,26,10,53,14,890000
"2020-02-26 10:53:18.39",28935,100029,5.619,13.54,88,29.8158,40,33.2644,1,12,0.7,-0.7,0.40,0.49693,0.5544067,2,26,10,53,17,710000
"2020-02-26 10:53:21.78",28936,100030,6.404,13.54,88,29.8159,40,33.2678,1,12,0.7,-0.9,0.46,0.4969317,0.5544633,2,26,10,53,21,100000
"2020-02-26 10:53:24.99",28937,100031,5.955,13.54,88,29.8163,40,33.2714,1,12,0.7,-1.2,0.43,0.4969383,0.5545234,2,26,10,53,24,310000
"2020-02-26 10:53:28.09",28938,100032,5.843,13.54,88,29.8166,40,33.2757,1,12,0.7,-1.5,0.42,0.4969434,0.554595,2,26,10,53,27,410000
"2020-02-26 10:53:30.99",28939,100033,7.301,13.54,88,29.817,40,33.2801,1,12,0.7,-1.7,0.51,0.49695,0.5546684,2,26,10,53,30,310000
"2020-02-26 10:53:33.89",28940,100034,6.404,13.54,88,29.8173,40,33.2874,1,12,0.7,-1.8,0.46,0.496955,0.55479,2,26,10,53,33,210000
"2020-02-26 10:53:36.77",28941,100035,4.049,13.54,88,29.8176,40,33.2955,1,12,0.7,-2,0.30,0.49696,0.554925,2,26,10,53,36,90000
"2020-02-26 10:53:39.84",28942,100036,4.722,13.54,88,29.818,40,33.3012,1,12,0.7,-2.1,0.35,0.4969667,0.55502,2,26,10,53,39,160000
"2020-02-26 10:53:42.99",28943,100037,5.731,13.53,88,29.8183,40,33.3104,1,12,0.7,-2.2,0.41,0.4969717,0.5551733,2,26,10,53,42,310000
"2020-02-26 10:53:45.7",28944,100038,6.516,13.53,88,29.8187,40,33.3151,1,12,0.7,-2.5,0.46,0.4969784,0.5552517,2,26,10,53,45,20000
"2020-02-26 10:53:48.7",28945,100039,5.843,13.54,88,29.8191,40,33.3257,1,12,0.7,-2.8,0.42,0.496985,0.5554283,2,26,10,53,48,20000
"2020-02-26 10:53:51.48",28946,100040,7.526,13.54,88,29.8193,40,33.3294,1,12,0.7,-3,0.53,0.4969883,0.55549,2,26,10,53,50,800000
"2020-02-26 10:53:54.65",28947,100041,7.974,13.54,88,29.8195,40,33.3379,1,12,0.7,-3.3,0.56,0.4969917,0.5556316,2,26,10,53,53,970000
"2020-02-26 10:53:57.37",28948,100042,9.21,13.54,88,29.8199,40,33.3461,1,12,0.7,-3.3,0.64,0.4969983,0.5557683,2,26,10,53,56,690000
"2020-02-26 10:54:00.15",28949,100043,9.88,13.53,88,29.82,40,33.3517,1,12,0.7,-3.4,0.68,0.497,0.5558616,2,26,10,53,59,470000
"2020-02-26 10:54:03.02",28950,100044,10.95,13.53,88,29.8204,40,33.362,1,12,0.7,-3.6,0.75,0.4970067,0.5560333,2,26,10,54,2,340000
"2020-02-26 10:54:06.1",28951,100045,16.61,13.53,88,29.8207,40,33.3727,1,12,0.7,-3.5,1.122,0.4970117,0.5562116,2,26,10,54,5,420000
"2020-02-26 10:54:09.05",28952,100046,26.48,13.53,88,29.8211,40,33.3818,1,12,0.7,-3.7,1.768,0.4970183,0.5563634,2,26,10,54,8,370000
"2020-02-26 10:54:12.26",28953,100047,23.56,13.53,88,29.8214,40,33.3881,1,12,0.7,-3.7,1.577,0.4970233,0.5564683,2,26,10,54,11,580000
"2020-02-26 10:54:15.03",28954,100048,22.44,13.52,88,29.8217,40,33.3944,1,12,0.7,-3.8,1.504,0.4970283,0.5565733,2,26,10,54,14,350000
"2020-02-26 10:54:19.55",28955,100049,18.18,13.53,88,29.8222,40,33.3932,1,12,0.7,-3.9,1.225,0.4970367,0.5565533,2,26,10,54,18,870000
"2020-02-26 10:54:22.86",28956,100050,21.1,13.52,88,29.8226,40,33.3978,1,12,0.7,-4.1,1.416,0.4970433,0.55663,2,26,10,54,22,180000
"2020-02-26 10:54:26.5",28957,100051,18.41,13.53,88,29.823,40,33.4086,1,12,0.7,-4.3,1.24,0.49705,0.55681,2,26,10,54,25,820000
"2020-02-26 10:54:29.7",28958,100052,21.55,13.52,88,29.8233,40,33.4201,1,12,0.7,-4.4,1.445,0.497055,0.5570017,2,26,10,54,29,20000
"2020-02-26 10:54:32.93",28959,100053,19.08,13.52,88,29.8236,40,33.4268,1,12,0.7,-4.4,1.284,0.49706,0.5571134,2,26,10,54,32,250000
"2020-02-26 10:54:36.55",28960,100054,19.13,13.52,88,29.8241,40,33.4395,1,12,0.7,-4.3,1.287,0.4970684,0.557325,2,26,10,54,35,870000
"2020-02-26 10:54:40.31",28961,100055,22.67,13.52,88,29.8245,40,33.4454,1,12,0.7,-4.5,1.518,0.497075,0.5574234,2,26,10,54,39,630000
"2020-02-26 10:54:43.29",28962,100056,24.35,13.52,88,29.8247,40,33.4508,1,12,0.7,-4.4,1.628,0.4970783,0.5575134,2,26,10,54,42,610000
"2020-02-26 10:54:47.25",28963,100057,29.57,13.51,88,29.8251,40,33.4649,1,12,0.7,-4.6,1.97,0.497085,0.5577484,2,26,10,54,46,570000
"2020-02-26 10:54:50.32",28964,100058,34,13.52,88,29.8253,40,33.4666,1,12,0.7,-4.6,2.259,0.4970884,0.5577766,2,26,10,54,49,640000
"2020-02-26 10:54:53.75",28965,100059,38.31,13.52,88,29.8256,40,33.4764,1,12,0.7,-4.9,2.542,0.4970933,0.55794,2,26,10,54,53,70000
"2020-02-26 10:54:57.31",28966,100060,38.59,13.51,88,29.8258,40,33.4826,1,12,0.7,-4.9,2.56,0.4970966,0.5580434,2,26,10,54,56,630000
"2020-02-26 10:55:00.53",28967,100061,45.21,13.52,88,29.826,40,33.4915,1,12,0.7,-5.1,2.993,0.4971,0.5581916,2,26,10,54,59,850000
"2020-02-26 10:55:03.4",28968,100062,31.3,13.51,88,29.8265,40,33.4916,1,12,0.7,-5.1,2.083,0.4971084,0.5581933,2,26,10,55,2,720000
"2020-02-26 10:55:06.77",28969,100063,30.63,13.51,88,29.827,40,33.4992,1,12,0.7,-5.3,2.039,0.4971166,0.55832,2,26,10,55,6,90000
"2020-02-26 10:55:09.84",28970,100064,35,13.51,88,29.8271,40,33.5083,1,12,0.7,-5.2,2.325,0.4971184,0.5584717,2,26,10,55,9,160000
"2020-02-26 10:55:13.02",28971,100065,40.73,13.51,88,29.8275,40,33.5154,1,12,0.7,-5.5,2.699,0.497125,0.55859,2,26,10,55,12,340000
"2020-02-26 10:55:17.5",28972,100066,48.46,13.51,88,29.8277,40,33.5249,1,12,0.7,-5.4,3.206,0.4971283,0.5587483,2,26,10,55,16,820000
"2020-02-26 10:55:22",28973,100067,56.32,13.51,88,29.828,40,33.5295,1,12,0.7,-5.7,3.719,0.4971333,0.558825,2,26,10,55,21,320000
"2020-02-26 10:55:25.46",28974,100068,62.82,13.51,88,29.8281,40,33.5294,1,12,0.7,-5.8,4.145,0.497135,0.5588234,2,26,10,55,24,780000
"2020-02-26 10:55:29.91",28975,100069,20.09,13.51,88,29.8281,40,33.5295,1,12,0.7,-5.9,1.35,0.497135,0.558825,2,26,10,55,29,230000
"2020-02-26 10:55:38.71",28976,100070,30.07,13.51,88,29.8278,40,33.4495,1,12,0.7,-5.8,2.003,0.49713,0.5574917,2,26,10,55,38,30000
"2020-02-26 10:55:43.74",28977,100071,29,13.5,88,29.8276,40,33.4027,1,12,0.7,-6.2,1.933,0.4971267,0.5567116,2,26,10,55,43,60000
"2020-02-26 10:55:47.45",28978,100072,43.53,13.51,88,29.827,40,33.3679,1,12,0.7,-6.1,2.883,0.4971166,0.5561317,2,26,10,55,46,770000
"2020-02-26 10:55:51.34",28979,100073,41.73,13.51,88,29.8268,40,33.3346,1,12,0.7,-6.5,2.766,0.4971133,0.5555766,2,26,10,55,50,660000
"2020-02-26 10:55:55.71",28980,100074,20.31,13.5,88,29.8264,40,33.2744,1,12,0.7,-7.1,1.364,0.4971067,0.5545733,2,26,10,55,55,30000
"2020-02-26 10:56:00.13",28981,100075,33.88,13.5,88,29.8255,40,33.2326,1,12,0.7,-7,2.252,0.4970917,0.5538767,2,26,10,55,59,450000
"2020-02-26 10:56:04.38",28982,100076,21.99,13.5,88,29.8251,40,33.1736,1,12,0.7,-7.5,1.474,0.497085,0.5528934,2,26,10,56,3,700000
"2020-02-26 10:56:08.4",28983,100077,33.94,13.5,88,29.8245,40,33.1187,1,12,0.7,-7.8,2.256,0.497075,0.5519783,2,26,10,56,7.000,720000
"2020-02-26 10:56:12.23",28984,100078,27.38,13.5,88,29.8237,40,33.0894,1,12,0.7,-8,1.827,0.4970617,0.55149,2,26,10,56,11,550000
"2020-02-26 10:56:16.94",28985,100079,29.57,13.5,88,29.8225,40,33.0448,1,12,0.7,-7.4,1.97,0.4970417,0.5507467,2,26,10,56,16,260000
"2020-02-26 10:56:20.88",28986,100080,30.41,13.5,88,29.822,40,32.9986,1,12,0.7,-7.7,2.025,0.4970333,0.5499766,2,26,10,56,20,200000
"2020-02-26 10:56:25.48",28987,100081,32.76,13.49,88,29.8213,40,32.9377,1,12,0.7,-8.4,2.179,0.4970217,0.5489616,2,26,10,56,24,800000
"2020-02-26 10:56:29.61",28988,100082,30.97,13.49,88,29.8209,40,32.8934,1,12,0.7,-8.8,2.061,0.497015,0.5482233,2,26,10,56,28,930000
"2020-02-26 10:56:33.78",28989,100083,38.09,13.49,88,29.8202,40,32.8503,1,12,0.7,-9,2.527,0.4970034,0.547505,2,26,10,56,33,100000
"2020-02-26 10:56:37.75",28990,100084,32.65,13.49,88,29.8194,40,32.8054,1,12,0.7,-8.6,2.171,0.49699,0.5467567,2,26,10,56,37,70000
"2020-02-26 10:56:41.54",28991,100085,38.15,13.49,88,29.8185,40,32.7704,1,12,0.7,-8.3,2.531,0.496975,0.5461733,2,26,10,56,40,860000
